feature,importance
alpha_10d,16.987527529194615
macro_bist100_roc_20d,6.529014119024704
alpha_30d,5.775001287648293
macro_bist100_distance_ma200,5.009027488214754
macro_tcmb_repo,4.896551578923613
macro_us_cli,4.11054422670713
macro_usdtry_distance_ma200,3.851030406541848
macro_bist100_vol_60d,3.2274955663238085
macro_usdtry_vol_60d,3.137067458496562
macro_bist100_vol_regime,2.5038383898827723
macro_usdtry_vol_regime,2.4429383317921207
alpha_60d,2.2522618284379416
macro_bist100_roc_60d,2.213425785883059
macro_eur_usd_implied,1.9397548701854583
macro_bist100_vol_20d,1.8222123877832386
macro_bist100,1.7894558679117591
macro_m2_yoy,1.7509676726833519
macro_cpi_yoy,1.5270533654892056
macro_bist100_roc_5d,1.4733606169162219
macro_us_cli_roc_20d,1.4661878849951746
macro_usdtry_roc_5d,1.4627041276096744
macro_us_cpi_yoy,1.3154695891774582
macro_eurtry_roc_20d,1.2995822809640212
macro_usdtry_vol_20d,1.1273079291862287
price_vol_60d,0.9064892267480035
macro_eur_try,0.7842674991466685
macro_macro_regime_up,0.7757315244933171
price_distance_from_ma200,0.7657730672300684
macro_usdtry_roc_20d,0.7274542964202659
macro_m2,0.632199459587004
macro_us_cpi,0.5784634544069868
macro_usdtry_ma200,0.5322243610424642
fund_profit_growth_yoy,0.5143530449889374
price_return_20d,0.5126524736363054
alpha_120d,0.499198526284679
macro_bist100_ma200,0.4841690795322088
alpha_90d,0.4814386310071267
price_vol_20d,0.46786867914899993
fund_roe,0.42266602381142665
fund_revenue_growth_yoy,0.41785430866407597
macro_eurtry_roc_5d,0.40266866480791413
kap_cat_SERMAYE_TEMETTU,0.3778482069397156
fund_current_ratio,0.36553695034916783
price_macd_signal,0.3445131198166816
macro_cpi,0.33605084255829243
macro_macro_regime_down,0.32459155930199457
price_roc_10,0.31387159679979293
price_close,0.30672099046083956
price_obv,0.2997291997306054
fund_roa,0.29152963350961536
fund_depreciation,0.27506540824268566
price_is_dividend_day,0.27505223192757394
price_return_5d,0.27016582681762086
price_volume,0.2652943181854801
macro_tcmb_rate_change_5d,0.2539863245267423
macro_tcmb_rate_roc_1d,0.2503618943797203
fund_debt_to_equity,0.24046900606969362
fund_current_assets,0.2363460479525656
price_atr_14,0.22689444896936825
price_macd_hist,0.21527225878748515
fund_long_term_liabilities,0.2143619543124371
fund_current_liabilities,0.20995274400786387
price_macd,0.19793620969204137
kap_cat_YATIRIM_SOZLESME,0.19062455255970442
macro_usdtry_roc_1d,0.18733590816262316
fund_net_profit,0.18497849465939517
macro_us_cpi_mom,0.1844099896677898
macro_tcmb_rate_change,0.1693745666244753
fund_net_margin,0.16792371411068277
macro_us_cli_roc_1d,0.16734505459942803
price_rsi_14,0.16004780266879018
fund_total_liabilities,0.15983341037244975
price_return_1d,0.15312950513656967
macro_eurtry_vs_bist100,0.15128036440157167
fund_net_sales,0.14932045559752444
fund_operating_profit,0.1489601856791186
macro_usd_try,0.14431676408276736
macro_bist100_roc_1d,0.12093372812411919
price_sma_20,0.12019124645512802
fund_total_assets,0.11920547772423298
price_sma_200,0.11881131474753971
fund_revenue,0.11270468578128996
macro_cpi_mom,0.11179450129116954
macro_eurtry_roc_1d,0.11150013577605465
fund_total_debt,0.10886401660216552
price_adj_high,0.08760175391987418
kap_is_related_party,0.08625083318850468
kap_cat_FINANSAL_RAPOR,0.07738966789707984
fund_ebitda,0.07299193534089811
price_adj_open,0.06831147250891748
fund_gross_profit,0.06653319559507813
fund_total_equity,0.059130774035390486
macro_m2_mom,0.058010055967167386
kap_currency_impact,0.052038516209429724
price_sma_50,0.051608639889115945
macro_usdtry_vs_bist100,0.0439581659422212
kap_sentiment,0.033838471919421305
kap_cat_UNKNOWN,0.03383162423669459
price_adj_low,0.029702188922313685
kap_volatility,0.011982990737052644
kap_cat_GENEL_BILGI,0.010258917114599211
macro_eur_usd_roc_1d,0.006871237484163784
