FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),MIATK,-4908,-10573,-28173,-5491,-62085,-86901,-106649,-11381,-20796,-56272,-84752,0,-19768,-27764,0,0,0,-40110,-161340,0,-61217,-84396
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,MIATK,28527,104537,66635,34037,68691,98306,38746,100974,111310,210774,191090,-1871647,41944,-2963192,5986720,-1783298,436864,-285446,-7318736,676309,-4036898,3467712
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,MIATK,1687913,1552596,3157513,1389235,2197445,4242677,6067776,1836008,7189151,11931185,25551934,4508670,9845579,16446785,30561261,29862215,29818920,34963130,87062227,864627,11483184,-8922998
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,MIATK,1687913,1552596,3157513,1389235,2197445,4242677,6067776,1836008,7189151,11931185,25551934,4508670,9845579,16446785,30561261,29862215,29818920,34963130,87062227,864627,11483184,-8922998
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3LB,Azınlık Payları,Minority Interests,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,-1532,-12275,24276,15093,79995,47274,201891,39439,-156085,-72982
3Z,Ana Ortaklık Payları,Parent Shares,MIATK,1687913,1552596,3157513,1389235,2197445,4242677,6067776,1836008,7189151,11931185,25551934,4508670,9847111,16459061,30536986,29847121,29738925,34915856,86860336,825187,11639269,-8850017
3ZD,Hisse Başına Kazanç,Earnings per Share,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4B,Amortisman Giderleri,Depreciation & Amortization,MIATK,99055,482550,234723,125484,237749,428545,646501,296502,585162,880566,3677783,839359,3195556,4875516,7032992,2051950,4382484,7108670,9489334,2073111,4440297,6901619
4BA,Kıdem Tazminatı,Severance Payments,MIATK,0,0,50177,0,22185,25151,77855,24964,39885,73620,98085,103116,115528,0,180747,10903,33505,65703,125298,20371,44447,55306
4BB,Finansman Giderleri,Financial Expenses,MIATK,-200045,-243188,-519341,-408890,-559412,-688799,-2645338,-584089,-943798,-1218687,-11599094,-3501080,-7549108,-11951061,-15652354,-4701368,-12645511,-17845704,-20582637,-13166986,-236946,-8337161
4BC,Yurtiçi Satışlar,Domestic Sales,MIATK,0,0,0,0,0,0,0,0,0,0,66261192,17541878,40477225,62924041,83273374,7636228,21139863,35001141,60745072,13846615,28967083,51171652
4BD,Yurtdışı Satışlar,Export Sales,MIATK,0,0,0,0,0,0,0,0,0,0,0,50539,476181,1612227,2007727,34763899,36081150,37998057,38461381,155710,593691,864055
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,MIATK,0,0,1142977,0,613590,699547,2944990,839388,-671776,2538465,3485113,573621,1276190,71830,2430078,25253819,26423206,31622863,34361454,29897325,5071369,5667231
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,MIATK,0,0,1026102,0,610938,699547,2943494,836439,-704582,2398118,3485113,48062,247287,71830,2430078,25253819,26423206,31622863,34361454,29897325,5071369,5667231
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),MIATK,0,0,1142977,0,613590,699547,2944990,839388,-671776,2538465,3485113,573621,1276190,71830,2430078,25253819,26423206,31622863,34361454,29897325,5071369,5667231
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,MIATK,391977,589217,3936361,504202,1721252,4405943,6483732,-186021,3028730,6690950,35555782,7738940,16900756,18911854,35656805,13806942,6923374,23062038,32981205,-2881489,8275148,11637689
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,MIATK,1687913,1552596,3157513,1389235,2197445,4242677,6067776,1836008,7189151,11931185,25551934,4159102,9847111,16446785,30536986,29847121,29738925,34963130,87062227,825187,11483184,-8922998
4CAA,Düzeltmeler:,Adjustments:,MIATK,96076,412109,269681,21057,407659,302930,605059,206053,715576,638502,5762714,2327481,4861762,7747895,266997,3992952,2562121,-4015430,11008774,1963564,3668503,27838990
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,MIATK,99055,482550,234723,125484,237749,428545,646501,296502,585162,880566,3677783,839359,3195556,4875516,7032992,2051950,4382484,7108670,9489334,2073111,4440297,6901619
4CAC,Karşılıklardaki Değişim,Change in Provisions,MIATK,80940,93904,99579,-47982,-13115,-4917,198118,8257,72800,-60920,-2284,-65544,304578,68860,168206,-47495,-464441,108609,67129,75558,149021,2524
4CAD,Diğer Gelir/ Gider,Other Income / Expense,MIATK,-83920,-164346,-64622,-56445,183025,-120698,-239560,-98705,57613,-181144,2087214,1553667,1361628,2803518,-6934201,1988497,-1355922,-11232709,1452311,-185104,-920815,20934847
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),MIATK,1783989,1964705,3427193,1410292,2605103,4545607,6672834,2042061,7904727,12569687,31314647,6486583,14708873,24194680,30803983,33840073,32301046,30947700,98071001,2788752,15151687,18915992
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,MIATK,-2175966,-1375487,509167,-906090,-864434,-139664,-189102,-2228082,-4864406,-5878737,-8759985,1252356,-8986273,-16263571,-13803181,-21527574,-26939518,-11671826,-69849996,-8298944,-10502711,-12555443
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),MIATK,-391977,589217,3936361,504202,1740670,4405943,6483732,-186021,3040321,6690950,22554662,7738940,5722600,7931109,17000802,12312500,5361528,19275875,28221005,-5510192,4648976,6360549
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,MIATK,0,0,0,0,-19418,0,0,0,-11591,0,13001121,0,0,0,0,0,0,0,0,0,-131618,0
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),MIATK,-505585,-1650601,-5063518,-1786272,-3175493,-4815366,-13958707,-1868841,-4771682,-8572038,-22125262,-11050005,-16025207,-22211479,-37211703,-4609441,-433138,-13117970,-19517186,-2638076,-13019292,-19571317
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,MIATK,0,0,910702,742734,697102,678682,616239,0,0,0,0,12096819,0,0,0,0,0,0,0,0,0,0
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,MIATK,-505585,-1650601,-4152816,-1043538,-2478391,-4136684,-13342469,-1868841,-4771682,-8572038,-22125262,1046814,-16025207,-22211479,-37211703,-4609441,-433138,-13117970,-19517186,-2638076,-13019292,-19571317
4CB,Serbest Nakit Akım,Free Cash Flow,MIATK,-113608,-1061383,-216455,-539336,-757139,269259,-6858736,-2054862,-1742952,-1881088,13430520,8785754,875549,-3299625,-1554899,9197502,6490236,9944069,13464019,-5519565,-4744144,-7933628
