FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),CANTE,25181853,28601124,40488934,-6832965,4117088,7773475,305340607,13196837,66241548,85269426,385701272,78123960,113179598,245221571,385890830,103852724,152810863,189579053,33585764,34212701,-37600475,-66765425
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,CANTE,-22760524,-5250035,-12042257,-3915534,-4208623,4646998,1661838,19454293,3172002,-17775092,-98690591,-32945622,-37432288,-5316116,-109970525,-12496347,-2437002,42771666,64909831,10127126,21895208,65322383
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),CANTE,2421328,23351089,28446677,-10748499,-91535,12420473,307002445,32651130,69413550,67494334,287010681,45178338,75747310,239905454,275920304,91356377,150373861,232350719,98495595,44339827,-15705267,-1443042
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,CANTE,140519,175686,248275,38143,177407,187188,244171,120176,291710,275218,178588,54013,93427,34067,-53194,47075,207986,182173,418648,-14582,-33729,-61522
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),CANTE,-8744226,-11498511,-17820808,-841268,-2080141,-5797735,-314803703,-2601234,-5193796,-8147921,-81999525,-37985978,-88621922,-185015909,-309692174,-88850894,-140577522,-216255823,-76250729,-54789251,5962576,29996391
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,CANTE,0,0,0,-1395,-9366,-153714,0,0,0,79401,0,0,0,0,0,0,0,0,0,0,0,0
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,CANTE,-8744226,-11498511,-17820808,-842663,-2089508,-5951449,-314803703,-2601234,-5193796,-8068520,-81999525,-37985978,-88621922,-185015909,-309692174,-88850894,-140577522,-216255823,-76250729,-54789251,5962576,29996391
4CB,Serbest Nakit Akım,Free Cash Flow,CANTE,-6182379,12028264,10874144,-11553019,-2003636,6656213,-7557087,30170071,64511465,59701031,205189744,7246373,-12781185,54923612,-33825063,2552558,10004325,16277069,22663514,-10464006,-9776420,28491827
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,CANTE,10518564,-12712033,-11778264,11566757,-28950783,-33272450,-18280262,-13829014,-25243532,-20764169,-38684590,2082223,1396129,-136827875,-191673982,265961,1558891,1939744,2305853,10317782,13621675,8038019
4CBB,Temettü Ödemeleri,Dividends Paid,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBC,Sermaye Artırımı,Rights Issue,CANTE,0,681567,652943,0,32213580,31210570,28338191,0,0,0,0,0,0,135385831,271436779,0,0,0,0,0,0,0
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,CANTE,0,0,0,0,0,0,3267,-7156,-81091,-113070,-236664,-64039,864640,637188,678162,114105,-268907,-393365,-104348,-119149,708108,275189
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,CANTE,10518564,-12030466,-11125322,11566757,3262796,-2061880,10061197,-13836171,-25324623,-20877239,-38921254,2018184,2260769,-804856,80440960,380066,1289984,1546379,2201505,10198633,14329783,8313208
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,CANTE,4336185,-2202,-251178,13737,1259161,4594332,2504110,16333901,39186842,38823793,166268491,9264558,-10520416,54118756,46615896,2932624,11294310,17823448,24865019,-265374,4553363,36805034
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,CANTE,0,0,0,0,0,0,0,0,0,0,-149333801,-20248331,-8211332,-54231646,-60728785,-102116,-15732818,-22049531,-25041250,-4009134,-5289738,-25176256
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,CANTE,4336185,-2202,-251178,13737,1259161,4594332,2504110,16333901,39186842,38823793,16934690,-10983773,-18731748,-112890,-14112889,2830509,-4438509,-4226083,-176231,-4274508,-736375,11628779
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,CANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,CANTE,458070,440767,422386,162479,152496,148467,134807,1685626,1582144,1480081,3836927,21018033,21740769,21121809,20911102,5758716,5976922,6294462,6180874,4777422,4898471,5108860
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,CANTE,4794255,438565,171208,176216,1411657,4742799,2638917,18019526,40768985,40303874,20771617,10034260,3009022,21008919,6798213,8589225,1538413,2068379,6004643,502914,4162096,16737639
