FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),KIMMR,-11154251,-16509705,-21069989,-5789013,-11354808,-17312255,-21836425,-5914035,-11314888,-17989731,-47182315,-16618558,-40733488,-54987426,-12757131,-24783619,-40308691,-56169459,-13334052,-23423277,-37563332
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),KIMMR,-1257067,-2001008,-2496697,-742437,-1442802,-3476940,-4027941,-703908,-1512212,-2228793,-6558998,-4252365,-11785613,-7953741,-1717495,-3358587,-5091403,-7138687,-1798497,-3073711,-4918301
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,KIMMR,1363697,2132619,3352529,576880,990873,1507077,1611030,447279,1024905,1202993,3691051,2589970,11407410,9268830,2941892,3496521,4233850,5154523,2129179,2459592,2972952
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),KIMMR,-2775759,-4230087,-7567291,-2528683,-6059844,-9207407,-10401009,-1774252,-3892388,-5422812,-18926539,-4310872,-9512121,-24874132,-4314605,-7218335,-10409802,-13189150,-3797609,-6268868,-9098752
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,KIMMR,1011776,567541,4293315,1392936,1516160,2380729,4236509,140873,932053,1091496,-5010327,6165618,15230775,12222529,2135271,11601614,13833174,9807017,3627747,8765162,12911070
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,KIMMR,2423838,2665010,8508077,3344739,6585131,10081059,13026487,1467847,3799535,5311316,10225161,7886520,13335486,27827831,3507985,15323428,20009126,17841643,5296177,12574438,19036871
3HA,Yatırım Faaliyetlerinden Gelirler,None,KIMMR,48250,89843,492477,19966,34697,52790,1337281,11175,46616,113515,2942052,184619,1809786,6088504,149014,523922,607058,5071181,25048,55753,218282
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,-0,-5976,0,0,0,0,-54425,0,0,0
