FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,MAGEN,0,0,18486652,0,13680519,105966798,93939515,93126908,94599949,88444665,147809428,76581383,53473235,41661999,51116441,31311577,33956741,37057221,50091359,44815438,37342804,36541833
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,MAGEN,0,0,13125246,0,2777145,93433644,67497496,17368034,15700829,22024785,25211040,34156847,4040702,14735030,12622046,4188246,2631773,6201517,4088448,7640218,4173285,6985966
1AB,Finansal Yatırımlar,Short-Term Financial Investments,MAGEN,0,0,0,0,0,0,0,46379839,46200305,32296750,22680115,7894594,3669502,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,MAGEN,0,0,4712781,0,2923485,4438960,24482584,27045832,30332376,31244128,51740218,32084429,24522595,24486692,30174166,19758541,21278608,20435092,31796592,29941070,24592676,24038147
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,MAGEN,0,0,303743,0,26563,25458,74639,86678,122571,67964,43785215,37442,18732383,22472,8947,19944,161123,26685,8723972,40157,1409881,33650
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,MAGEN,0,0,254730,0,115974,1135901,218446,193995,182683,913935,494471,161712,120315,113487,2256852,1364893,1246703,1398605,1842891,1383907,1091085,1050504
1AG,Canlı Varlıklar,Short-Term Live Assets,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,MAGEN,0,0,90151,0,7837352,6932835,1666351,2052530,2061185,1897102,3898369,2246358,2387739,2304318,6054429,5979952,8638533,8995321,3639456,5810086,6075877,4433565
1AI,(Ara Toplam),(Subtotal),MAGEN,0,0,18486652,0,13680519,105966798,93939515,93126908,94599949,88444665,147809428,76581383,53473235,41661999,51116441,31311577,33956741,37057221,50091359,44815438,37342804,36541833
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,MAGEN,0,0,130358595,0,273277088,270226456,345103896,315193962,276352363,249097237,550618192,422900578,411556125,408437967,595005687,477632748,480110770,510352368,550267690,490533050,491047663,501381123
1B,Ticari Alacaklar,Trade Receivables,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,MAGEN,0,0,826,0,0,0,43921,42179,37055,189872,291565,186511,141168,133710,24090,16094,15968,15731,259101,249654,264746,263929
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,MAGEN,0,0,6727,0,0,0,0,0,0,0,0,87439595,67431366,63604699,98857583,101926660,101926892,101926686,112107608,89386614,91684670,91627917
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,MAGEN,0,0,215265,0,0,0,0,0,0,0,31344743,19816620,16595339,15653569,27072785,48983442,49166651,47300813,69180682,56710006,56061090,57703860
1BFA,Stoklar,Stoklar,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868744,1805083,1750231
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,MAGEN,0,0,130114496,0,273259584,270210040,345003929,315136622,276297269,248029471,516338316,313657471,311597036,313456641,466133031,309075194,327774116,343618423,367800889,339700992,340169333,348541906
1BGA,Şerefiye,Goodwill,MAGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
