FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,SDTTR,34392793,0,24406409,0,0,26502920,54750906,46069214,46898605,55450889,97204085,65097559,67425856,67807852,84342141,68295139,60829987,68448271
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,SDTTR,4060519,0,7343239,0,0,4720477,19286996,19455804,17555076,15028945,12289916,14735522,12842546,12806324,22909624,16981821,7119775,8652645
1AB,Finansal Yatırımlar,Short-Term Financial Investments,SDTTR,1566763,0,0,0,0,8749340,7221775,8774103,12802508,12948892,18652072,8087344,4478157,1258528,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,SDTTR,7017478,0,5511687,0,0,2710590,7887798,6006792,1910942,7463899,23924183,9798098,15900367,17489372,12700541,6745964,11757964,14907223
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,SDTTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,SDTTR,881433,0,216362,0,0,337998,270654,99355,91277,583980,902532,706566,623470,467152,287492,366690,595570,722071
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SDTTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,SDTTR,14097614,0,9491791,0,0,7115330,15742426,8840842,9270987,13464964,35408234,27553736,28673543,32131348,43369676,41083984,39073751,41559645
1AG,Canlı Varlıklar,Short-Term Live Assets,SDTTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,SDTTR,6768987,0,1843330,0,0,2869185,4341259,2892318,5267815,5960208,6027150,4216294,4907774,3655129,5074809,3116678,2282926,2606687
1AI,(Ara Toplam),(Subtotal),SDTTR,34392793,0,24406409,0,0,26502920,54750906,46069214,46898605,55450889,97204085,65097559,67425856,67807852,84342141,68295139,60829987,68448271
