FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,HUNER,0,3748336,0,0,18411513,15115313,12250666,9040919,21571479,9391627,7743134,12004602,10082517,8358384,7363724,14698448,13236253,18160153,12111929,10763956,9368454
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,HUNER,0,419202,0,0,990386,536099,4447741,3955327,3048168,4404722,2236801,2072996,578993,1695642,815828,2082244,1275592,5480602,1334252,1074690,638687
1AB,Finansal Yatırımlar,Short-Term Financial Investments,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808369,5878702,1199456,374586,575974,618236
1AC,Ticari Alacaklar,Short-Term Trade Receivables,HUNER,0,1415245,0,0,2990497,2495902,1585220,2487562,1308170,1602587,822934,1270372,1965751,1498018,1707152,4404076,2981603,3031387,2733803,2913018,2449538
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,HUNER,0,88236,0,0,11422676,10334688,5106954,515121,3651429,305846,707946,4832995,5565561,1895651,2096098,1917252,1200383,1907436,1391583,1434944,1208758
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,HUNER,0,71615,0,0,136291,163326,346605,434144,430457,487034,1105161,831882,726637,876517,903053,1030093,925274,2244925,2444632,2355797,1998837
1AG,Canlı Varlıklar,Short-Term Live Assets,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,HUNER,0,1754039,0,0,2871663,1585297,764147,1648765,13133255,2591437,2870291,2996357,1245575,2392557,1841593,1456416,974699,4296346,3833074,2409533,2454397
1AI,(Ara Toplam),(Subtotal),HUNER,0,3748336,0,0,18411513,15115313,12250666,9040919,21571479,9391627,7743134,12004602,10082517,8358384,7363724,14698448,13236253,18160153,12111929,10763956,9368454
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,HUNER,0,148917709,0,0,195969384,194053714,199461058,217125461,215214283,214890873,209543480,207871869,206655681,206595023,204597786,202883752,201401616,267268866,212358871,208775776,207071874
1B,Ticari Alacaklar,Trade Receivables,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,HUNER,0,993825,0,0,19300,12760,11559,10353,9314,9225,38806,7080,14790,18909,17241,26950,24391,31406,23425,24290,23183
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,59,135,22,109,62,18
1BE,Canlı Varlıklar,Long-Term Live Assets,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,HUNER,0,98707084,0,0,96457344,93326166,95918346,114322105,113434038,112777630,109033331,108330996,107582241,106852327,106081751,105341698,104593058,146019111,116766830,114581072,113796522
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,HUNER,0,48574567,0,0,98191215,100660129,103492837,102739951,101664577,101161674,99659177,98855094,98304983,99277501,98027687,96881887,95688398,69995474,55165711,54641835,54031935
1BGA,Şerefiye,Goodwill,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,65384,148108,144068,544684,49566554,39193719,38878333,38553989
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,HUNER,0,642234,0,0,1301526,54659,38316,53052,106353,942343,812167,678699,753667,380899,322999,489090,550949,1656299,1209077,650185,666227
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,HUNER,0,152666045,0,0,214380897,209169027,211711724,226166380,236785762,224282500,217286614,219876471,216738198,214953406,211961510,217582200,214637869,285429019,224470800,219539732,216440329
1BM,KAYNAKLAR,LIABILITIES,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,HUNER,0,24938126,0,0,34309296,18389825,17675999,18834825,31514789,26302206,30102235,32795759,34354142,33510955,38560266,35298044,32209778,34963469,28905913,28341240,31520192
2AA,Finansal Borçlar,Short-Term Financial Loans,HUNER,0,9631720,0,0,11144578,15046159,13023313,10920316,10709910,15292426,15091026,16048844,15861095,15593347,15426044,18355664,16789636,21774316,16907249,16546602,16385830
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,HUNER,0,14750652,0,0,12722037,2160714,2557293,1550633,12854476,4256362,3648113,2985774,2749504,3605667,3379969,2806977,519690,6347108,4470237,4406179,5031111
2AAGAB,Diğer Borçlar,Other Short-Term Loans,HUNER,0,415806,0,0,9977392,655985,1707833,5873994,7562060,6567136,11225711,13580042,15489822,14165163,19600068,13914641,14742426,6566869,7229707,7127199,9891298
2AAGAC,Müşteri Söz. Doğan Yük.,None,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,HUNER,0,131347,0,0,0,420760,260904,289576,83591,83375,85015,51391,66231,23825,4395,0,0,2319,8580,0,0
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,HUNER,0,0,0,0,0,11263,13890,13888,13871,37435,0,50536,61409,52943,48718,66008,69058,85993,113028,108988,122868
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,HUNER,0,8602,0,0,465289,94945,112766,186418,290882,65471,52370,79172,126080,70009,101071,154754,88968,186864,177112,152271,89085
2AAGG,(Ara Toplam),(Subtotal),HUNER,0,24938126,0,0,34309296,18389825,17675999,18834825,31514789,26302206,30102235,32795759,34354142,33510955,38560266,35298044,32209778,34963469,28905913,28341240,31520192
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,HUNER,0,77137130,0,0,104658091,111756813,102651897,104423122,98875373,93173610,86868289,84479276,80043087,79477583,73163889,69922258,66623418,88998169,71964655,65726630,63766305
2BA,Finansal Borçlar,Long-Term Financial Loans,HUNER,0,42654929,0,0,44845659,67541186,65558177,69420209,64145800,59388306,55267996,51711686,47135612,45649664,41871991,35434452,31802024,47506900,36795948,34048116,30454597
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,HUNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,HUNER,0,88541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
