FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),SMRTG,-2513502,-1519405,-1911532,-2373096,-4746444,-1672704,-1649121,-2630452,-23247370,-9171493,-19973576,-32158901,-58525990,-11934938,-42975407,-47848409,-68596334,-7962375,-31023374,-36268857
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,SMRTG,0,-451116,-436279,-615531,-704235,-54689,-153533,155383,349352,144243,5415975,6143687,5205710,96362,557339,521575,1126966,-122856,-342506,-439985
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,SMRTG,8378292,2080491,979505,4587169,10806699,1460739,4900542,7779577,6781209,-1392501,33167430,47039779,58205076,14962552,1424623,5959956,-11486802,-3800455,-14259401,-14118936
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,SMRTG,-161781,-529113,-665716,-1205436,-1356401,819567,132294,363975,-2577982,-429442,-1088744,-5898243,4652735,-1997905,5534375,7348741,28044532,-3867918,1523030,-4955979
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),SMRTG,-569782,-181654,-186512,-617461,-723267,-78656,-262134,-466372,-1011041,-2648901,-3246117,-4201160,-4211837,-27690,0,0,-101772,0,0,0
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,SMRTG,408001,-347459,-479204,-587976,-633133,898223,394428,830347,-1566941,2219459,2157373,-1697083,8864572,-1970215,5534375,7348741,28146304,-3867918,1523030,-4955979
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,SMRTG,8216511,1551378,313789,3381733,9450299,2280306,5032836,8143552,4203227,-1821943,32078686,41141536,62857811,12964647,6958998,13308697,16557730,-7668374,-12736371,-19074915
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,SMRTG,8216511,1551378,313789,3381733,9450299,2280306,5032836,8143552,4203227,-1821943,32078686,41141536,62857811,12964647,6958998,13308697,16557730,-7668374,-12736371,-19074915
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3LB,Azınlık Payları,Minority Interests,SMRTG,374822,-54546,4468,229818,485896,32394,-302196,-497210,-1136317,127275,934580,783633,874536,-69891,-70182,-283483,-273773,16345,-60882,-197418
3Z,Ana Ortaklık Payları,Parent Shares,SMRTG,7841689,1605924,309321,3151914,8964402,2247913,5335032,8640762,5339544,-1949218,31144107,40357904,61983275,13034538,7029180,13592180,16831503,-7684719,-12675489,-18877497
3ZD,Hisse Başına Kazanç,Earnings per Share,SMRTG,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,-0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,SMRTG,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,-0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,SMRTG,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,-0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,SMRTG,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-0,-0,-0
