FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3Z,Ana Ortaklık Payları,Parent Shares,ASTOR,32100177,32506865,58002544,17014143,43212358,69143662,122810041,7688608,38812487,106386760,278615861,25500149,54734301,143143224,191727086,25027038,49994329,123180268
3ZD,Hisse Başına Kazanç,Earnings per Share,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4B,Amortisman Giderleri,Depreciation & Amortization,ASTOR,8070433,5941089,7570185,1349716,2521497,3523509,7897575,4472903,22825678,14784946,19056435,6633639,14266177,23818245,32932352,5672280,11965532,19127415
4BA,Kıdem Tazminatı,Severance Payments,ASTOR,386075,310546,317664,0,305102,411732,639221,0,361836,670773,648961,0,380560,0,491003,0,0,0
4BB,Finansman Giderleri,Financial Expenses,ASTOR,-22262331,-17575141,-51477325,-3536732,-13023292,-14673474,-137583538,-50907263,-116181952,-200107332,-95436922,-28013696,-123655996,-127194283,-171614524,-53361125,-120539480,-172057239
4BC,Yurtiçi Satışlar,Domestic Sales,ASTOR,168378036,208526692,295045775,68816581,158400084,240552429,667816448,125091998,292894658,491354110,698785041,146980430,302368394,478634813,640395479,75112557,180203067,309012667
4BD,Yurtdışı Satışlar,Export Sales,ASTOR,39598249,40583961,62631303,10405849,31521440,54438783,177047304,50004672,141064861,244242971,348475196,116335785,193290331,293475518,381664711,94098023,179762775,264675836
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,ASTOR,-30127151,0,-8935928,0,0,26122298,69473593,44827572,92721126,105188093,119905729,53012597,52616162,24323359,126635363,59526183,68656370,69928009
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,ASTOR,-30127151,0,-8935928,0,0,26122298,69473593,44827572,92721126,105188093,119905729,53012597,52616162,24323359,126635363,59526183,68656370,69928009
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),ASTOR,-30127151,0,-8935928,0,0,26122298,69473593,44827572,92721126,105188093,119905729,53012597,52616162,24323359,126635363,59526183,68656370,69928009
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,ASTOR,-1288866,-30445141,-26282217,-8397553,-15003532,13451715,36897389,99531381,138839966,172956307,243365889,84829557,164718716,317751038,269412000,42611500,58758787,13116432
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,ASTOR,32100177,32506865,58002544,17014143,43212358,69143662,122810041,6511681,35634090,106386760,278615861,25500149,54734301,143143224,191727086,25027038,49994329,123180268
4CAA,Düzeltmeler:,Adjustments:,ASTOR,15543711,18337486,31229505,4675705,3164630,10999126,69109363,93488869,23837775,101700984,17893890,22610230,27174838,172652175,51556035,23917078,32236566,11067871
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,ASTOR,8070433,5941089,7570185,1349716,2521497,3523509,7897575,4472903,22825678,14784946,19056435,6633639,14266177,23818245,32932352,5672280,11965532,19127415
4CAC,Karşılıklardaki Değişim,Change in Provisions,ASTOR,1420587,4616765,539470,336906,487072,2018301,1353770,337790,737026,1889362,4412259,1507783,1249605,1141522,25550157,7111654,7639563,8268590
4CAD,Diğer Gelir/ Gider,Other Income / Expense,ASTOR,6052691,7779632,23119850,2989083,156061,5457317,59858018,88678176,11799454,16493159,7727952,13168978,-30302514,-25892947,-28977809,10507823,20423640,-89645680
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),ASTOR,47643888,50844351,89232048,21689848,46376988,80142788,191919404,100000549,59471865,208087744,296509751,48110378,81909139,315795400,243283121,48944116,82230895,134248139
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,ASTOR,-48932755,-81289492,-115514265,-30087401,-61380520,-66691074,-155022015,-469168,79368101,-35131437,-53143862,36719179,82809577,1955638,26128879,-6332616,-23472108,-121131707
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),ASTOR,-1288866,-30445141,-26282217,-8397553,-15003532,13451715,36897389,99531381,138839966,172956307,243365889,84829557,164718716,317751038,269412000,42611500,58758787,13116432
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),ASTOR,-20702394,-11718526,-20833825,-66624,-1113217,-3569641,-16469433,-6323159,-15746192,-43156518,-110359628,-37426378,-48277554,-74440268,-91410498,1501458,-13518392,-18205905
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,ASTOR,0,0,0,0,0,0,-2365276,383704,0,0,-53307439,-580210,-29433048,-20275884,-68293148,-23890688,-50468158,-103594786
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,ASTOR,-20702394,-11718526,-20833825,-66624,-1113217,-3569641,-18834709,-5939455,-15746192,-43156518,-163667066,-38006588,-77710602,-94716152,-159703646,-22389229,-63986550,-121800691
4CB,Serbest Nakit Akım,Free Cash Flow,ASTOR,-21991260,-42163667,-47116041,-8464177,-16116749,9882074,18062680,93591926,123093775,129799788,79698823,46822970,87008114,223034886,109708354,20222271,-5227763,-108684260
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,ASTOR,46262315,40145835,59407079,19406191,33068275,10119186,5866597,-38751403,-72762098,-113351979,-43708121,-15475327,-15519681,-1440412,46605658,25041885,31137884,58280711
4CBB,Temettü Ödemeleri,Dividends Paid,ASTOR,0,0,0,0,0,0,0,0,0,-47317560,-46845529,0,0,-72179296,-70876775,0,0,-40309249
4CBC,Sermaye Artırımı,Rights Issue,ASTOR,0,0,0,0,0,0,0,93884564,102418437,99502582,98509963,0,0,0,0,0,0,0
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,ASTOR,-5673873,-4570379,-4627417,-1735762,-20478745,-25041492,-57486200,-23445401,0,0,0,-42342640,-15555928,-51837222,0,-28163924,-65457933,-52712178
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,ASTOR,40588442,35575457,54779663,17670429,12589530,-14922306,-51619604,31687760,29656340,-61166957,7956313,-57817967,-31075609,-125456930,-24271117,-3122039,-34320049,-34740716
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,ASTOR,18597182,-6588210,7663621,9206252,-3527219,-5040232,-33556924,125279686,152750114,68632831,87655136,-10994997,55932505,97577956,85437238,17100233,-39547812,-143424975
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,ASTOR,18597182,-6588210,7663621,9206252,-3527219,-5040232,-33556924,125279686,152750114,68632831,87655136,-10994997,55932505,97577956,85437238,17100233,-39547812,-143424975
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,ASTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,ASTOR,13376623,27726827,25175762,20976369,19688614,18418521,47749250,14360266,14853617,14430735,14287630,86352407,89627074,94388749,92685443,141718198,145309018,151550031
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,ASTOR,31973805,21138617,32839383,30182621,16161395,13378288,14192326,139639952,167603731,83063566,101942766,75357410,124304696,162268708,178122680,158818430,125535112,51264083
