FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KMPUR,129911769,0,0,0,155115187,173854083,202916086,184948518,359854924,235164928,222625994,236441541,375084372,283461590,260483837,276473107,231133890,212237972,231292167
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KMPUR,37829795,0,0,0,39109882,16795519,20085575,18403788,82537440,29650308,31942834,38522773,51786680,33889478,37148782,11265355,11380510,12132905,40200223
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KMPUR,6217211,0,0,0,2346879,23088592,39447022,40045571,44259271,39679160,35711807,43578673,88193758,64347105,9676250,18063523,26431,25118,12355208
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KMPUR,64214963,0,0,0,79786655,96387109,98016594,91140689,167675983,121990461,118592220,117218592,185793786,142200619,138458755,167541894,138728320,143578522,128991672
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KMPUR,1180402,0,0,0,510578,373853,211063,154408,1141785,942813,289957,213825,426019,329716,359752,368524,2272984,1291697,5083748
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KMPUR,16027513,0,0,0,26974143,31256112,39403914,29108051,57480625,37442667,29694671,31138312,43499335,31810613,57597217,62143576,56686306,43548002,38965766
1AG,Canlı Varlıklar,Short-Term Live Assets,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KMPUR,4441885,0,0,0,6387050,5952897,5751918,6096012,6759819,5459519,6394505,5769365,5384794,10884058,17243082,17090235,22039337,11661728,5695550
1AI,(Ara Toplam),(Subtotal),KMPUR,129911769,0,0,0,155115187,173854083,202916086,184948518,359854924,235164928,222625994,236441541,375084372,283461590,260483837,276473107,231133890,212237972,231292167
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KMPUR,13436359,0,0,0,10267407,14294692,14043904,18436675,52384197,29261365,24294945,23942342,60024533,44339727,51118443,67988871,54300611,56901897,58944595
1B,Ticari Alacaklar,Trade Receivables,KMPUR,1413106,0,0,0,0,0,34449,9778,78982,20847,13529,32816,58013,0,29255,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KMPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
