FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1AK,Duran Varlıklar,LONG TERM ASSETS,ALFAS,1732403,0,0,2841277,0,4626790,13954396,33259815,18483256,19573754,25528615,65073119,61988984,67774089,84290464,121088435,102684645,152823457,160001346
1B,Ticari Alacaklar,Trade Receivables,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485215,1090713
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ALFAS,0,0,0,0,0,0,0,0,0,0,0,12136,0,0,0,0,0,0,255
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ALFAS,339628,0,0,0,0,0,0,0,0,0,0,0,11578934,11699460,12088252,24043507,20186221,21623819,22079790
1BE,Canlı Varlıklar,Long-Term Live Assets,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710580,733848
1BFA,Stoklar,Stoklar,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,ALFAS,1236399,0,0,2836094,0,4043567,9753467,24543752,15551426,17190405,21421592,65060983,49455750,55032194,71075301,93723054,79695168,126158754,132057646
1BGA,Şerefiye,Goodwill,ALFAS,0,0,0,0,0,0,0,0,0,0,3779398,0,0,0,1057840,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,953920,1041566,69071,3321874,2803256,2845089,4039093
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,ALFAS,156376,0,0,5183,0,583223,4120076,8716062,2931830,2383350,327625,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,ALFAS,0,0,0,0,0,0,80853,0,0,0,0,0,380,869,0,0,0,0,0
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,ALFAS,24424998,0,0,32996875,0,58226792,86983707,182588097,129907970,133602566,146237583,248449457,165569078,205000749,199773928,257023620,206025569,254414944,283853606
1BM,KAYNAKLAR,LIABILITIES,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,ALFAS,15660962,0,0,24510973,0,45028654,67849165,93418396,62915481,79619548,76220009,106554666,74109962,78315654,80119046,100248049,78522243,89796755,110559922
2AA,Finansal Borçlar,Short-Term Financial Loans,ALFAS,1338615,0,0,1128241,0,6652326,4508252,1465415,3435770,6820022,8541567,8999215,14349525,20656151,16652390,31535757,30493187,44647195,45224160
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,ALFAS,6409280,0,0,18222381,0,23531596,31209727,38956404,27275522,20009793,30570313,43771592,14013547,17149320,20073642,21471964,21016397,15369416,27108300
2AAGAB,Diğer Borçlar,Other Short-Term Loans,ALFAS,83618,0,0,13811,0,166574,155012,286711,2803597,483815,137653,187373,2178171,1481749,475129,1815973,1413152,8142264,13245437
2AAGAC,Müşteri Söz. Doğan Yük.,None,ALFAS,7719191,0,0,5041487,0,14510564,31740969,47033968,27063636,51371878,34977426,49956544,42379718,37056236,40520582,38318114,23736872,20021018,23681577
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),ALFAS,0,0,0,5138,0,0,0,4468761,1642046,0,946319,1759825,0,476601,1433296,0,504432,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,ALFAS,20774,0,0,23915,0,38697,41176,81878,67065,53277,89104,192799,153919,155201,139502,233703,224036,198726,194255
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,ALFAS,89483,0,0,75999,0,128898,194029,1125259,627844,880762,957626,1687317,1035083,1340396,824505,6872537,1134166,1418135,1106194
2AAGG,(Ara Toplam),(Subtotal),ALFAS,15660962,0,0,24510973,0,45028654,67849165,93418396,62915481,79619548,76220009,106554666,74109962,78315654,80119046,100248049,78522243,89796755,110559922
