FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,MAVI,238941883,229968347,237177513,240290339,223708157,212688393,222003373,192494046,203639308,202074002,231395098,479081251,320021003,220555401,231864107,295211774,243155802,245736667,230621488,264096297,273838721,251168078
2AA,Finansal Borçlar,Short-Term Financial Loans,MAVI,134691332,118103421,126418583,139861154,121478995,106776527,88670976,83869018,84165649,73587896,70458439,166402413,97205568,66622986,82354518,67591425,49463078,50145202,45816046,53105498,57074169,63478188
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,MAVI,93172073,96493764,93798511,85863145,88394758,81272554,105196020,89017150,90110001,93244785,125361711,260550235,157912684,116682438,100839058,163757379,137227798,153924884,133386440,154670266,166192046,139430881
2AAGAB,Diğer Borçlar,Other Short-Term Loans,MAVI,1060093,2113777,1653705,544486,397684,4761899,1205352,1424324,9190371,8735277,2269770,3499413,26297960,1630331,5039707,7097449,11771139,3439379,4820566,7550088,3390945,3276894
2AAGAC,Müşteri Söz. Doğan Yük.,None,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915202,0,0,0,6466574,5834032,6042389
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,MAVI,2920611,2869667,2481522,2441912,2314047,2434251,2815223,2233655,1997068,2424003,3791700,7187433,4665881,4472044,4726974,1633600,5603396,5879040,5990170,495262,224456,85551
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),MAVI,181570,62577,2300739,848548,1554767,4866661,7582663,3856886,6917516,7333417,8174654,7233451,10674439,10286669,15752279,11114295,14787346,6292508,10164061,5339595,12566574,5611920
