iter	Logloss
0	0.6860538487
1	0.6788984215
2	0.6726356055
3	0.6651541601
4	0.6605293373
5	0.6549528646
6	0.6492111151
7	0.6441095687
8	0.6396284593
9	0.6349531823
10	0.6304726531
11	0.6244270283
12	0.6212867967
13	0.6157300824
14	0.6121948162
15	0.6085016459
16	0.6055853129
17	0.6010641102
18	0.5976665911
19	0.594815407
20	0.5913582228
21	0.5884739712
22	0.5859069946
23	0.5823473208
24	0.5797850869
25	0.5765282495
26	0.5743717659
27	0.5716290362
28	0.5698086568
29	0.5670964606
30	0.5648245807
31	0.5627846893
32	0.561148759
33	0.5587525048
34	0.5567414454
35	0.5538984397
36	0.5508579665
37	0.5490725641
38	0.5476597551
39	0.5460892799
40	0.5440021337
41	0.5423276257
42	0.5403458103
43	0.5387448828
44	0.5370374905
45	0.5358369355
46	0.5343887696
47	0.5326721484
48	0.5314112046
49	0.5301539782
50	0.5289190465
51	0.5271813024
52	0.5260260841
53	0.5244002373
54	0.5229945495
55	0.5219024427
56	0.5202848714
57	0.5190111439
58	0.5176956711
59	0.5165554757
60	0.5153325179
61	0.51354486
62	0.512448701
63	0.5107238882
64	0.5095438442
65	0.5083236611
66	0.5070143036
67	0.5057245848
68	0.5047036033
69	0.5040357436
70	0.5032114866
71	0.5022931568
72	0.5013484847
73	0.5004574491
74	0.4992044884
75	0.4980224389
76	0.4971370813
77	0.4958278932
78	0.4951611304
79	0.4944746428
80	0.4932434207
81	0.4923597037
82	0.4915806829
83	0.4905372415
84	0.4896797886
85	0.4888953197
86	0.4877523442
87	0.4866008688
88	0.4859454001
89	0.485406764
90	0.4847936178
91	0.4838699323
92	0.483260516
93	0.4827804084
94	0.481937083
95	0.481297739
96	0.4805021145
97	0.4792375181
98	0.4785718748
99	0.4779106174
100	0.4771693434
101	0.4762404494
102	0.4756324671
103	0.47439468
104	0.4737763577
105	0.4730934842
106	0.4725240816
107	0.471133173
108	0.4706356562
109	0.4700522841
110	0.4692003389
111	0.4683333281
112	0.4678412352
113	0.4669366346
114	0.4663207606
115	0.4655892278
116	0.4652327927
117	0.46438509
118	0.4637388445
119	0.4625708473
120	0.4621005971
121	0.4616007805
122	0.4611094197
123	0.4604842083
124	0.4601146015
125	0.4597017152
126	0.458965564
127	0.4585855501
128	0.4581227292
129	0.4576873274
130	0.4572258819
131	0.4569717613
132	0.456549744
133	0.4560041759
134	0.455485953
135	0.4549185685
136	0.4543522631
137	0.4539649327
138	0.4533397221
139	0.4523249202
140	0.4518988026
141	0.451323631
142	0.4507795151
143	0.4502531979
144	0.4497697146
145	0.4494675009
146	0.4491853965
147	0.4486563235
148	0.4484220693
149	0.4480138199
150	0.4476124385
151	0.4470404052
152	0.44677058
153	0.4461163258
154	0.4457527616
155	0.4450536654
156	0.4447275559
157	0.4444675539
158	0.4440316291
159	0.4436654158
160	0.4433264882
161	0.4427714854
162	0.4424927695
163	0.4420416191
164	0.441664387
165	0.4413680247
166	0.4409385089
167	0.4405332296
168	0.440140352
169	0.4398918151
170	0.4395610533
171	0.4391728961
172	0.4388694443
173	0.4383811872
174	0.4380948087
175	0.4373111773
176	0.4368810459
177	0.436538401
178	0.4360022111
179	0.4357091974
180	0.4354099458
181	0.4349306771
182	0.4344984876
183	0.4340776674
184	0.4338368699
185	0.4336539124
186	0.4334984504
187	0.4331111989
188	0.4329112147
189	0.4327035304
190	0.4322952181
191	0.4320151518
192	0.4316343664
193	0.431035269
194	0.4305314243
195	0.4302812796
196	0.4300280035
197	0.4297069523
198	0.429422848
199	0.4292401893
200	0.4287830431
201	0.4284393519
202	0.4280563542
203	0.4278504842
204	0.4275892056
205	0.427325226
206	0.4270557489
207	0.4264992789
208	0.4262750713
209	0.4260733368
210	0.4258308976
211	0.4255137984
212	0.4252577083
213	0.4249938895
214	0.4247065466
215	0.4244018351
216	0.4241606027
217	0.4238676718
218	0.4235814648
219	0.4233669384
220	0.4230142483
221	0.4225771325
222	0.4219515384
223	0.4216179086
224	0.4213237072
225	0.4211012061
226	0.4209156519
227	0.4205574792
228	0.4203173393
229	0.4201101084
230	0.4197419443
231	0.4194563441
232	0.4191880811
233	0.4188668125
234	0.4185656313
235	0.4181932733
236	0.4179458878
237	0.4176773103
238	0.4173474274
239	0.4171169827
240	0.4168092967
241	0.4165746699
242	0.4162727417
243	0.4157466362
244	0.4154620998
245	0.4151490672
246	0.4148393287
247	0.4144186196
248	0.4141712019
249	0.4139026572
250	0.4136952245
251	0.4134314982
252	0.4130790709
253	0.4128894688
254	0.4127032765
255	0.4124157877
256	0.4121239506
257	0.4117400661
258	0.4112719948
259	0.4108618685
260	0.4106269055
261	0.4103200552
262	0.4100842107
263	0.4096802571
264	0.4094137
265	0.4091324892
266	0.4089555856
267	0.408747414
268	0.4084464711
269	0.4080370394
270	0.4076994038
271	0.4074489907
272	0.4071710758
273	0.4066902814
274	0.4063820229
275	0.4061720485
276	0.40597122
277	0.4057446485
278	0.4055010916
279	0.4051344
280	0.4048203485
281	0.4046610575
282	0.4043609126
283	0.4041441455
284	0.4038608644
285	0.4033995469
286	0.4031164689
287	0.4028834325
288	0.4027139421
289	0.4024695145
290	0.4022065883
291	0.4019823888
292	0.4017746751
293	0.4016216533
294	0.4014213699
295	0.4012326934
296	0.4010660466
297	0.4008520712
298	0.4005265689
299	0.4002938674
300	0.4001459355
301	0.3999902343
302	0.3996734635
303	0.3993058327
304	0.3990341392
305	0.3988676849
306	0.398692486
307	0.3984471274
308	0.3982379089
309	0.3979846883
310	0.3977967383
311	0.3975778118
312	0.3973099331
313	0.397111469
314	0.3968917929
315	0.3967435458
316	0.3965092143
317	0.3963573817
318	0.3961416473
319	0.3958909824
320	0.3956525888
321	0.3954072795
322	0.3952493024
323	0.3951096897
324	0.3948610066
325	0.3945880315
326	0.3944209894
327	0.3941556748
