iter	Passed	Remaining
403	8335	6107
404	8355	6086
405	8374	6064
406	8394	6043
407	8415	6022
408	8435	6001
409	8453	5979
410	8474	5958
411	8494	5937
412	8513	5916
413	8530	5893
414	8551	5872
415	8572	5852
416	8590	5830
417	8611	5809
418	8629	5787
419	8649	5766
420	8669	5745
421	8687	5723
422	8708	5702
423	8728	5681
424	8749	5661
425	8769	5640
426	8789	5619
427	8810	5599
428	8831	5578
429	8848	5556
430	8869	5535
431	8888	5514
432	8907	5492
433	8926	5471
434	8945	5449
435	8964	5428
436	8986	5408
437	9005	5387
438	9026	5366
439	9046	5345
440	9066	5324
441	9086	5304
442	9106	5283
443	9127	5262
444	9146	5241
445	9165	5219
446	9185	5198
447	9205	5177
448	9225	5157
449	9242	5134
450	9261	5113
451	9280	5092
452	9301	5071
453	9320	5050
454	9342	5030
455	9361	5009
456	9381	4988
457	9403	4968
458	9424	4948
459	9444	4927
460	9466	4907
461	9488	4887
462	9509	4867
463	9528	4846
464	9550	4826
465	9569	4805
466	9588	4783
467	9607	4762
468	9627	4741
469	9648	4721
470	9671	4702
471	9692	4681
472	9710	4660
473	9732	4640
474	9753	4620
475	9771	4598
476	9790	4577
477	9809	4555
478	9830	4535
479	9851	4515
480	9872	4494
481	9891	4473
482	9909	4452
483	9928	4431
484	9948	4410
485	9969	4389
486	9988	4368
487	10006	4347
488	10026	4326
489	10045	4305
490	10065	4284
491	10083	4263
492	10101	4241
493	10119	4219
494	10138	4198
495	10159	4178
496	10179	4158
497	10199	4137
498	10219	4116
499	10237	4095
500	10258	4074
501	10278	4053
502	10299	4033
503	10319	4013
504	10338	3992
505	10357	3971
506	10378	3950
507	10398	3929
508	10417	3909
509	10437	3888
510	10456	3867
511	10477	3847
512	10496	3826
513	10515	3805
514	10536	3784
515	10556	3764
516	10574	3743
517	10594	3722
518	10612	3700
519	10634	3681
520	10653	3660
521	10673	3639
522	10694	3619
523	10716	3599
524	10736	3578
525	10757	3558
526	10776	3537
527	10798	3517
528	10819	3497
529	10840	3477
530	10859	3456
531	10878	3435
532	10899	3415
533	10919	3394
534	10937	3373
535	10956	3352
536	10976	3331
537	10995	3310
538	11015	3290
539	11034	3269
540	11052	3248
541	11072	3227
542	11094	3207
543	11116	3187
544	11138	3167
545	11158	3147
546	11177	3126
547	11196	3105
548	11217	3085
549	11238	3065
550	11259	3044
551	11278	3023
552	11299	3003
553	11318	2982
554	11337	2962
555	11356	2941
556	11375	2920
557	11395	2899
558	11415	2879
559	11436	2859
560	11454	2838
561	11475	2817
562	11494	2797
563	11514	2776
564	11537	2756
565	11558	2736
566	11579	2716
567	11601	2696
568	11623	2676
569	11643	2655
570	11662	2634
571	11681	2614
572	11700	2593
573	11719	2572
574	11742	2552
575	11765	2532
576	11788	2512
577	11812	2493
578	11834	2473
579	11854	2452
580	11877	2432
581	11896	2411
582	11917	2391
583	11939	2371
584	11963	2351
585	11986	2331
586	12008	2311
587	12028	2291
588	12049	2270
589	12074	2251
590	12095	2230
591	12118	2210
592	12141	2190
593	12160	2170
594	12181	2149
595	12203	2129
596	12222	2108
597	12241	2088
598	12260	2067
599	12278	2046
600	12296	2025
601	12317	2005
602	12336	1984
603	12357	1964
604	12394	1946
605	12421	1926
606	12444	1906
607	12465	1886
608	12485	1865
609	12505	1845
610	12525	1824
611	12545	1803
612	12566	1783
613	12584	1762
614	12603	1741
615	12625	1721
616	12645	1701
617	12665	1680
618	12690	1660
619	12712	1640
620	12734	1620
621	12755	1599
622	12776	1579
623	12799	1558
624	12819	1538
625	12839	1517
626	12858	1497
627	12876	1476
628	12896	1455
629	12915	1435
630	12934	1414
631	12954	1393
632	12974	1373
633	12996	1352
634	13017	1332
635	13036	1311
636	13063	1291
637	13095	1272
638	13119	1252
639	13142	1232
640	13168	1212
641	13190	1191
642	13210	1171
643	13232	1150
644	13253	1130
645	13277	1109
646	13298	1089
647	13319	1068
648	13341	1048
649	13362	1027
650	13380	1007
651	13401	986
652	13422	966
653	13443	945
654	13463	924
655	13485	904
656	13506	883
657	13525	863
658	13545	842
659	13563	822
660	13582	801
661	13603	780
662	13623	760
663	13644	739
664	13666	719
665	13694	699
666	13714	678
667	13735	658
668	13758	637
669	13778	616
670	13797	596
671	13818	575
672	13838	555
673	13858	534
674	13877	513
675	13903	493
676	13930	473
677	13953	452
678	13975	432
679	13998	411
680	14019	391
681	14038	370
682	14063	350
683	14086	329
684	14108	308
685	14129	288
686	14151	267
687	14171	247
688	14190	226
689	14212	205
690	14233	185
691	14258	164
692	14281	144
693	14303	123
694	14324	103
695	14345	82
696	14368	61
697	14388	41
698	14409	20
699	14428	0
