symbol,tarih,sentiment,volatility,is_related_party,currency_impact,category
MAVI,24.02.2022 18:47:46,0,0,0,0,GENEL_BILGI
MAVI,28.02.2022 17:39:42,-40,5,1,0,GENEL_BILGI
MAVI,14.03.2022 18:44:03,0,2,0,0,FINANSAL_RAPOR
MAVI,14.03.2022 18:44:18,0,0,0,0,GENEL_BILGI
MAVI,14.03.2022 18:45:30,0,0,0,0,GENEL_BILGI
MAVI,14.03.2022 18:45:51,30,1,0,0,KAR_PAYI_DAĞITIM
MAVI,14.03.2022 18:46:13,0,0,1,0,GENEL_BILGI
MAVI,18.03.2022 11:53:49,30,1,0,2,SERMAYE_TEMETTU
MAVI,18.03.2022 11:54:40,0,5,0,0,GENEL_BILGI
MAVI,29.03.2022 17:53:58,30,2,0,0,SERMAYE_TEMETTU
MAVI,29.03.2022 17:54:10,0,2,0,0,YATIRIM_SOZLESME
MAVI,30.03.2022 18:20:19,0,0,0,0,GENEL_BILGI
MAVI,30.03.2022 18:21:08,0,0,0,0,GENEL_BILGI
MAVI,06.04.2022 19:34:57,0,0,0,0,GENEL_BILGI
MAVI,06.04.2022 19:54:46,0,0,0,0,GENEL_BILGI
MAVI,25.04.2022 18:31:54,0,0,0,0,GENEL_BILGI
MAVI,27.04.2022 16:15:23,0,0,0,0,GENEL_BILGI
MAVI,27.04.2022 16:35:46,30,1,0,0,SERMAYE_TEMETTU
MAVI,27.04.2022 16:37:14,40,5,0,2,YATIRIM_SOZLESME
MAVI,27.04.2022 16:38:33,30,2,0,0,Kâr_artışı
MAVI,27.04.2022 16:44:36,0,0,0,0,GENEL_BILGI
MAVI,27.04.2022 16:46:26,0,0,0,0,GENEL_BILGI
MAVI,27.04.2022 16:49:58,0,0,0,0,GENEL_BILGI
MAVI,06.05.2022 13:23:27,30,1,0,0,SERMAYE_TEMETTU
MAVI,13.05.2022 14:27:46,0,0,0,0,GENEL_BILGI
MAVI,13.05.2022 14:32:25,30,1,0,2,SERMAYE_TEMETTU
MAVI,13.05.2022 14:36:20,0,5,0,0,GENEL_BILGI
MAVI,13.05.2022 14:44:43,0,0,0,0,GENEL_BILGI
MAVI,13.05.2022 14:57:07,30,1,0,0,SERMAYE_TEMETTU
MAVI,13.05.2022 17:07:03,0,0,1,0,GENEL_BILGI
MAVI,16.05.2022 09:11:53,30,1,1,0,SERMAYE_TEMETTU
MAVI,17.05.2022 09:08:38,0,0,0,0,GENEL_BILGI
MAVI,18.05.2022 09:08:14,0,0,1,0,GENEL_BILGI
MAVI,18.05.2022 09:18:55,0,5,0,0,GENEL_BILGI
MAVI,20.05.2022 09:03:16,0,0,0,0,GENEL_BILGI
MAVI,31.05.2022 09:52:40,0,0,0,0,GENEL_BILGI
MAVI,31.05.2022 09:53:22,0,0,0,0,GENEL_BILGI
MAVI,08.06.2022 17:57:47,-40,5,1,0,GENEL_BILGI
MAVI,09.06.2022 18:20:12,-20,2,0,0,FINANSAL_RAPOR
MAVI,09.06.2022 18:20:41,0,0,0,0,GENEL_BILGI
MAVI,09.06.2022 18:21:21,0,0,0,0,GENEL_BILGI
