date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2020-01-02,1.797,1.85,1.74,1.8,317482510.0,ISGYO,1.8,0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.03888888888888897,1,1,0.016666666666666607,1,0
2020-01-03,1.762,1.79,1.71,1.76,305349068.0,ISGYO,1.76,0,-0.022222222222222254,,,,,,,,,-0.0031908831908831203,-0.0006381766381766241,-0.002552706552706496,,,-305349068.0,0.03409090909090917,1,1,0.06818181818181812,1,1
2020-01-06,1.786,1.83,1.73,1.76,387620844.0,ISGYO,1.76,0,0.0,,,,,,,,,-0.005654499557633308,-0.0016414412220679608,-0.004013058335565347,,,-305349068.0,0.03977272727272729,1,1,0.05681818181818188,1,1
2020-01-07,1.798,1.83,1.77,1.77,139047875.0,ISGYO,1.77,0,0.005681818181818121,,,,,,,,,-0.006722523781638401,-0.0026576577339820487,-0.004064866047656352,,,-166301193.0,0.02259887005649719,1,1,0.09039548022598876,1,1
2020-01-08,1.745,1.78,1.7,1.75,185380591.51,ISGYO,1.75,0,-0.011299435028248594,,,,,,,,,-0.009078126535127629,-0.0039417514942111645,-0.005136375040916464,,,-351681784.51,0.02285714285714291,1,1,0.10857142857142854,1,1
2020-01-09,1.851,1.89,1.81,1.87,509382618.61,ISGYO,1.87,0,0.06857142857142873,0.03888888888888897,,,,,,,,-0.0012475802418772108,-0.0034029172437443737,0.002155337001867163,,,157700834.10000002,-0.048128342245989386,0,-1,0.03208556149732611,1,1
2020-01-10,1.844,1.88,1.82,1.82,186514156.0,ISGYO,1.82,0,-0.0267379679144385,0.03409090909090917,,,,,,,,0.0009130766003204727,-0.0025397184749314044,0.003452795075251877,,,-28813321.899999976,0.0219780219780219,1,1,0.0439560439560438,1,1
2020-01-13,1.849,1.87,1.83,1.83,281629063.0,ISGYO,1.83,0,0.005494505494505475,0.03977272727272729,,,,,,,,0.003393214278961443,-0.001353131924152835,0.004746346203114277,,,252815741.10000002,0.027322404371584508,1,1,0.010928961748633892,1,0
2020-01-14,1.825,1.85,1.8,1.81,114766474.0,ISGYO,1.81,0,-0.010928961748633892,0.02259887005649719,,,,,,,,0.0037022313858290357,-0.00034205926215646095,0.004044290647985497,,,138049267.10000002,0.027624309392265234,1,1,0.055248618784530246,1,1
2020-01-15,1.789,1.82,1.75,1.79,186537216.0,ISGYO,1.79,0,-0.011049723756906049,0.02285714285714291,,,,,,,,0.002306706539234149,0.00018769389812166103,0.002119012641112488,,,-48487948.899999976,0.022346368715083775,1,1,0.06703910614525133,1,1
2020-01-16,1.83,1.88,1.77,1.78,373821852.0,ISGYO,1.78,0,-0.005586592178770999,-0.048128342245989386,,,,,,,,0.00038933856495915187,0.0002280228314891592,0.00016131573346999268,-1.1111111111111072,,-422309800.9,0.022471910112359605,1,1,0.16292134831460658,1,1
