date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2020-01-02,1.7605175,1.7767804,1.7524618,1.7525,12232225.0,AEFES,0.17525,0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.024251069900142586,1,1,0.10316690442225407,1,1
2020-01-03,1.7304233,1.7570215,1.7099043,1.754,22584807.0,AEFES,0.1754,0,0.0008559201141227213,,,,,,,,,1.1965811965830575e-05,2.393162393166115e-06,9.57264957266446e-06,,,22584807.0,0.03118586088939579,1,1,0.10399087799315843,1,1
2020-01-07,1.7590735,1.7874202,1.715984,1.7844,17304585.0,AEFES,0.17844,0,0.017331812998859775,,,,,,,,,0.0002637114958482789,5.465682908418867e-05,0.00020905466676409025,,,39889392.0,0.04427258462228201,1,1,0.08518269446312488,1,1
2020-01-08,1.7558059,1.7707007,1.7327029,1.7555,11619694.32,AEFES,0.17555,0,-0.016195920197265012,,,,,,,,,0.0002274015730114598,8.920577786964291e-05,0.0001381957951418169,,,28269697.68,0.0684135573910567,1,1,0.11341498148675577,1,1
2020-01-09,1.8052788,1.8208579,1.78134,1.8193,22131272.72,AEFES,0.18192999999999998,0,0.03634292224437474,,,,,,,,,0.0007053080257972966,0.00021242622745517366,0.0004928817983421229,,,50400970.4,0.052657615566426896,1,1,0.07354476996647086,1,1
2020-01-10,1.8056589,1.8299774,1.7874202,1.795,24032148.0,AEFES,0.1795,0,-0.013356785576870145,0.024251069900142586,,,,,,,,0.000877852306175958,0.0003455114431993306,0.0005323408629766274,,,26368822.4,0.08640668523676887,1,1,0.049972144846796684,1,1
2020-01-13,1.8193382,1.8330173,1.804139,1.8087,30591869.0,AEFES,0.18087,0,0.0076323119777159665,0.03118586088939579,,,,,,,,0.0011123203058324704,0.0004988732157259585,0.0006134470901065119,,,56960691.4,0.07646375850058051,1,1,0.026040802786531758,1,1
2020-01-14,1.8428968,1.8634156,1.8132588,1.8634,38572593.0,AEFES,0.18634,0,0.030242715762702543,0.04427258462228201,,,,,,,,0.0017196975670353276,0.0007430380859878324,0.0009766594810474952,,,95533284.4,0.05956853064291079,1,1,0.009820757754642084,1,0
2020-01-15,1.8741312,1.8953341,1.842137,1.8756,33021377.0,AEFES,0.18756,0,0.006547171836428056,0.0684135573910567,,,,,,,,0.0022732871868719196,0.00104908790616465,0.0012241992807072695,,,128554661.4,0.06723181915120491,1,1,0.010503305608871916,1,0
2020-01-16,1.9112929,1.927252,1.8801346,1.9151,33338439.0,AEFES,0.19151,0,0.021059927489869956,0.052657615566426896,,,,,,,,0.002996204556409171,0.0014385112362135543,0.0015576933201956167,,,161893100.4,0.03174768941569628,1,1,-0.02381076706177232,0,-1
2020-01-20,1.9515705,1.9758892,1.9394114,1.9501,18058039.0,AEFES,0.19501,0,0.018275808051798625,0.08640668523676887,,,,,,,,0.0038076503068283085,0.0019123390503365052,0.0018953112564918033,11.275320970042802,,179951139.4,0.00466642736269951,1,0,-0.018716988872365503,0,0
2020-01-21,1.9387276,1.9500507,1.9226923,1.947,15271622.0,AEFES,0.1947,0,-0.0015896620686117746,0.07646375850058051,,,,,,,,0.004375277030868041,0.0024049266464428124,0.0019703503844252287,11.003420752565575,,164679517.4,-0.023420647149460794,0,-1,-0.04447868515665121,0,-1
2020-01-22,1.9657055,1.9819691,1.9439713,1.9744,19789771.0,AEFES,0.19744,0,0.014072932717000386,0.05956853064291079,,,,,,,,0.004988713614877877,0.0029216840401298256,0.002067029574748051,10.64783680789061,,184469288.4,-0.04543152350081037,0,-1,-0.06158833063209079,0,-1
2020-01-23,1.9849328,2.0017278,1.9606899,2.0017,24505361.0,AEFES,0.20017000000000001,0,0.013826985413290194,0.06723181915120491,,,,,,,84.4389165284689,0.005630252663718888,0.0034633977648476384,0.0021668548988712493,14.02449444602678,0.04766419999999997,208974649.4,-0.061497726932107755,0,-1,-0.07513613428585719,0,-1
2020-01-24,1.9849328,2.0260465,1.9652503,1.9759,10494659.0,AEFES,0.19759,0,-0.012889044312334619,0.03174768941569628,,,,,,,78.81836945304443,0.005862908583309789,0.0039432999285400686,0.0019196086547697208,8.607706260649707,0.05026974285714284,198479990.4,-0.046915329723164145,0,-1,-0.08461966698719559,0,-1
2020-01-27,1.9685179,1.9956483,1.9409313,1.9592,11046333.0,AEFES,0.19592,0,-0.008451844728984192,0.00466642736269951,,,,,,,75.47169811320762,0.005845155715942962,0.0043236710860206475,0.0015214846299223149,9.147632311977727,0.05081258571428571,187433657.4,-0.01321968150265418,0,0,-0.053542262147815434,0,-1
2020-01-28,1.9274803,1.980449,1.8953341,1.9014,16532307.0,AEFES,0.19014,0,-0.02950183748468771,-0.023420647149460794,,,,,,,63.598326359832676,0.0053035526920408305,0.004519647407224684,0.000783905284816146,5.125228064355625,0.05178963571428571,170901350.4,0.018407489218470463,1,0,-0.028768276007152593,0,-1
2020-01-29,1.878539,1.9105328,1.8634156,1.8847,19760343.0,AEFES,0.18847,0,-0.00878300199852744,-0.04543152350081037,,,,,,,65.45454545454545,0.004685561118419057,0.004552830149463559,0.00013273096895549848,1.1430718042288346,0.0514625,151141007.4,0.027431421446383997,1,1,-0.019366477423462536,0,0
2020-01-30,1.8678232,1.8846943,1.8314976,1.8786,10375435.0,AEFES,0.18786,0,-0.003236589377619725,-0.061497726932107755,,,,,,,58.229253399944525,0.004099322009531142,0.004462128521477076,-0.0003628065119459338,0.15994881637875213,0.05059425,140765572.4,0.04045565846907273,1,1,-0.08170978388161398,0,-1
2020-01-31,1.8644797,1.893814,1.8360573,1.8832,26653975.0,AEFES,0.18832,0,0.002448631959970138,-0.046915329723164145,,,,0.1873985,,,62.94773928361714,0.0036299971007496545,0.004295702237331592,-0.0006657051365819375,-1.665709362435397,0.05167992857142857,167419547.4,0.037117672047578765,1,1,-0.07428844519966005,0,-1
2020-02-03,1.9246682,1.9500507,1.875575,1.9333,24263146.0,AEFES,0.19333,0,0.02660365335598991,-0.01321968150265418,0.10316690442225407,0.017236005715232285,,0.18830249999999998,,,66.52519893899205,0.0036205830314678666,0.004160678396158847,-0.0005400953646909805,-0.8614942823444882,0.054284099999999995,191682693.4,-0.025138364454559525,0,-1,-0.08803600062070038,0,-1
2020-02-04,1.9373592,1.9667698,1.9090132,1.9364,23994877.0,AEFES,0.19363999999999998,0,0.0016034759219984984,0.018407489218470463,0.10399087799315843,0.017227213167785,,0.1892145,,,61.21696373693913,0.0035966764754041536,0.004047878012007909,-0.0004512015366037554,-0.544427324088359,0.05450131428571429,215677570.4,-0.04162363148109882,0,-1,-0.16799215038215232,0,-1
