date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2020-01-02,0.85172766,0.8734033,0.83515203,0.867,100972939.0,SKBNK,0.867,0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.05155709342560555,1,1,0.04417531718569778,1,1
2020-01-03,0.8319645,0.8606529,0.79052556,0.8224,117120560.0,SKBNK,0.8224,0,-0.05144175317185695,,,,,,,,,-0.003557834757834777,-0.0007115669515669554,-0.0028462678062678216,,,-117120560.0,0.1085846303501945,1,1,0.03878891050583655,1,1
2020-01-06,0.79945093,0.81602645,0.7841505,0.7905,57422989.0,SKBNK,0.7905,0,-0.03878891050583666,,,,,,,,,-0.008849496351490682,-0.002339152831551701,-0.006510343519938981,,,-174543549.0,0.13712839974699564,1,1,0.08070841239721682,1,1
2020-01-08,0.7809628,0.79690075,0.7586496,0.7905,70057910.13,SKBNK,0.7905,0,0.0,,,,,,,,,-0.01289453610319835,-0.004450229485881032,-0.00844430661731732,,,-174543549.0,0.12903225806451601,1,1,0.08070841239721682,1,1
2020-01-10,0.86575305,0.8861537,0.84152734,0.867,95660424.0,SKBNK,0.867,0,0.09677419354838701,,,,,,,,,-0.009814216408915888,-0.005523026870488003,-0.004291189538427885,,,-78883125.0,0.04417531718569778,1,1,-0.022029988465974593,0,-1
2020-01-14,0.9135671,0.93078023,0.89890414,0.9117,54448982.0,SKBNK,0.9117,0,0.05155709342560555,0.05155709342560555,,,,,,,,-0.003723205635231097,-0.005163062623436622,0.001439856988205525,,,-24434143.0,0.013930020840188684,1,0,-0.05593945376768672,0,-1
2020-01-15,0.90655446,0.9180299,0.8861537,0.9117,55795702.0,SKBNK,0.9117,0,0.0,0.1085846303501945,,,,,,,,0.0010913834966898017,-0.003912173399411337,0.005003556896101139,,,-24434143.0,0.0,0,0,-0.042009432927498036,0,-1
2020-01-16,0.92057985,0.9371555,0.8861537,0.8989,53214566.0,SKBNK,0.8989,0,-0.014039706043654676,0.13712839974699564,,,,,,,,0.0038299774490871963,-0.0023637432297116305,0.006193720678798827,,,-77648709.0,0.02124819223495389,1,1,-0.042496384469907666,0,-1
2020-01-17,0.8963542,0.9116546,0.8861537,0.8925,34457802.0,SKBNK,0.8925,0,-0.007119813104906059,0.12903225806451601,,,,,,,,0.0054214117143662754,-0.0008067122408960494,0.0062281239552623244,,,-112106511.0,0.007170868347339043,1,0,-0.09994397759103635,0,-1
2020-01-20,0.9129297,0.924405,0.89890414,0.9053,35558279.0,SKBNK,0.9053,0,0.014341736694677865,0.04417531718569778,,,,,,,,0.007627562073609262,0.0008801426220050129,0.006747419451604249,,,-76548232.0,-0.014138959460952227,0,0,-0.11266983320446256,0,-1
2020-01-21,0.9167547,0.93078023,0.89890414,0.9244,47706471.0,SKBNK,0.9244,0,0.021097978570639553,0.013930020840188684,,,,,,,,0.010792750394114536,0.002862664176426918,0.007930086217687619,6.620530565167249,,-28841761.0,-0.02758546083946345,0,-1,-0.14485071397663352,0,-1
2020-01-22,0.9193048,0.93078023,0.9052793,0.9117,44217040.0,SKBNK,0.9117,0,-0.01373864128083091,0.0,,,,,,,,0.012136499073779783,0.0047174311558974905,0.007419067917882292,10.85846303501945,,-73058801.0,-0.02796972688384336,0,-1,-0.1398486344192168,0,-1
2020-01-23,0.91739225,0.93078023,0.9052793,0.918,34143717.0,SKBNK,0.918,0,0.006910167818361401,0.02124819223495389,,,,,,,,0.01355355004418679,0.0064846549335553505,0.00706889511063144,16.129032258064523,,-38915084.0,-0.04858387799564279,0,-1,-0.12494553376906326,0,-1
2020-01-24,0.9027293,0.93078023,0.8861537,0.8989,66800851.0,SKBNK,0.8989,0,-0.020806100217864887,0.007170868347339043,,,,,,,55.55942837225515,0.01298567202904477,0.007784858352653235,0.005200813676391535,13.712839974699564,0.044174904999999993,-105715935.0,-0.01412837913004783,0,0,-0.16308821893425307,0,-1
2020-01-27,0.89890414,0.9180299,0.87977856,0.8925,54872584.0,SKBNK,0.8925,0,-0.007119813104906059,-0.014138959460952227,,,,,,,54.347084896010905,0.011882227179243476,0.008604332117971285,0.0032778950612721916,2.941176470588225,0.04417491,-160588519.0,0.007170868347339043,1,0,-0.2071708683473389,0,-1
2020-01-28,0.895079,0.9052793,0.8861537,0.8989,33313865.0,SKBNK,0.8989,0,0.007170868347339043,-0.02758546083946345,,,,,,,64.99411995295961,0.0113928361752198,0.009162032929420989,0.002230803245798812,-1.4039706043654676,0.040078564285714276,-127274654.0,0.007119813104905948,1,0,-0.18444765824897102,0,-1
2020-01-29,0.8918915,0.9052793,0.87977856,0.8862,24361151.0,SKBNK,0.8862,0,-0.01412837913004783,-0.02796972688384336,,,,,,,70.28401865197114,0.009866471870925264,0.009302920717721845,0.0005635511532034194,-2.796972688384336,0.039167938571428564,-151635805.0,-0.03599638907695779,0,-1,-0.13676371022342582,0,-1
2020-01-30,0.8759534,0.8861537,0.8606529,0.8734,32285797.0,SKBNK,0.8734,0,-0.014443692168810696,-0.04858387799564279,,,,,,,66.66666666666663,0.00753708135478659,0.008949752845134794,-0.0014126714903482038,-2.8368005339859947,0.038260506428571414,-183921602.0,-0.021868559651935016,0,-1,-0.1459812228074192,0,-1
2020-02-03,0.8842412,0.8925289,0.8734033,0.8862,24585397.0,SKBNK,0.8862,0,0.014655369819097874,-0.01412837913004783,,,,,,,55.18918918918917,0.006647250251204495,0.008489252326348734,-0.0018420020751442386,-0.7058823529411784,0.03279444928571427,-159336205.0,-0.03599638907695779,0,-1,-0.17276009930038372,0,-1
2020-02-05,0.90719193,0.93078023,0.8925289,0.8989,62565904.0,SKBNK,0.8989,0,0.014330850823741859,0.007170868347339043,,,,0.88233,,,45.816993464052324,0.00688744240365502,0.008168890341809992,-0.001281447938154972,-0.7069479730476003,0.031423020714285696,-96770301.0,-0.05673601067971967,0,-1,-0.24819223495383258,0,-1
2020-02-06,0.90974194,0.924405,0.89890414,0.9053,103368409.0,SKBNK,0.9053,0,0.007119813104905948,0.007119813104905948,0.04417531718569778,0.03127676362669036,,0.884245,,,47.992471769134276,0.007507679076900753,0.008036648088828143,-0.0005289690119273903,-2.066205106014718,0.030967934999999985,6598108.0,-0.04926543687175522,0,-1,-0.28874406274163256,0,-1
2020-02-10,0.8670281,0.89890414,0.83515203,0.8543,52227667.0,SKBNK,0.8543,0,-0.05633491660223133,-0.03599638907695779,0.03878891050583655,0.03173762598942745,,0.88584,,,38.71457489878544,0.003839685825718253,0.0071972556362061655,-0.0033575698104879124,-6.295930678951411,0.03233551857142856,-45629559.0,0.02235748566077489,1,1,-0.2537750204846073,0,-1
2020-02-11,0.84981495,0.8670281,0.83515203,0.8543,54428214.0,SKBNK,0.8543,0,0.0,-0.021868559651935016,0.08070841239721682,0.030239783300173337,,0.88903,,,40.01046025104605,0.0009221448360372531,0.0059422334761723835,-0.0050200886401351305,-6.9389978213507675,0.03279088785714284,-45629559.0,0.007491513519840787,1,0,-0.32096453236567957,0,-1
2020-02-12,0.85619026,0.8734033,0.84152734,0.8543,55001580.0,SKBNK,0.8543,0,0.0,-0.03599638907695779,0.08070841239721682,0.030239783300173337,,0.89222,,,35.70627802690586,-0.0013741866497360977,0.004478949450990688,-0.0058531361007267855,-4.9616197574813725,0.03278881357142855,-45629559.0,-0.05969799836123135,0,-1,-0.283624019665223,0,-1
