iter	Passed	Remaining
403	8462	6199
404	8480	6176
405	8502	6157
406	8523	6135
407	8540	6112
408	8559	6090
409	8580	6069
410	8602	6049
411	8621	6026
412	8639	6003
413	8658	5981
414	8677	5959
415	8699	5939
416	8718	5916
417	8738	5895
418	8759	5874
419	8779	5852
420	8801	5832
421	8818	5809
422	8838	5787
423	8862	5768
424	8881	5747
425	8902	5726
426	8921	5703
427	8942	5683
428	8961	5661
429	8980	5638
430	9000	5617
431	9018	5594
432	9038	5573
433	9057	5551
434	9076	5529
435	9096	5507
436	9113	5484
437	9136	5464
438	9156	5444
439	9183	5426
440	9204	5405
441	9226	5385
442	9246	5364
443	9269	5344
444	9292	5324
445	9311	5303
446	9332	5282
447	9354	5261
448	9374	5240
449	9396	5220
450	9419	5200
451	9439	5179
452	9462	5159
453	9484	5139
454	9504	5117
455	9523	5095
456	9541	5073
457	9561	5052
458	9583	5031
459	9602	5009
460	9623	4989
461	9642	4967
462	9663	4946
463	9684	4925
464	9703	4904
465	9722	4882
466	9742	4860
467	9763	4839
468	9781	4817
469	9802	4797
470	9821	4775
471	9841	4753
472	9863	4733
473	9881	4711
474	9903	4691
475	9925	4670
476	9944	4648
477	9966	4628
478	9986	4607
479	10005	4585
480	10024	4564
481	10043	4542
482	10062	4521
483	10083	4500
484	10102	4478
485	10122	4457
486	10141	4435
487	10161	4414
488	10180	4392
489	10202	4372
490	10221	4350
491	10242	4330
492	10261	4308
493	10281	4287
494	10299	4265
495	10319	4244
496	10338	4222
497	10357	4201
498	10377	4179
499	10397	4159
500	10414	4136
501	10434	4115
502	10457	4095
503	10479	4075
504	10500	4054
505	10520	4033
506	10543	4013
507	10562	3992
508	10586	3972
509	10606	3951
510	10627	3930
511	10648	3909
512	10667	3888
513	10686	3867
514	10707	3846
515	10728	3825
516	10750	3805
517	10769	3784
518	10792	3763
519	10820	3745
520	10844	3725
521	10868	3706
522	10889	3685
523	10909	3664
524	10928	3642
525	10948	3621
526	10967	3600
527	10988	3579
528	11007	3558
529	11026	3536
530	11047	3516
531	11066	3494
532	11085	3473
533	11105	3452
534	11126	3431
535	11146	3410
536	11166	3389
537	11186	3368
538	11206	3347
539	11226	3326
540	11248	3306
541	11268	3284
542	11290	3264
543	11315	3244
544	11333	3223
545	11356	3203
546	11376	3181
547	11394	3160
548	11415	3139
549	11434	3118
550	11456	3098
551	11476	3077
552	11496	3056
553	11516	3034
554	11535	3013
555	11555	2992
556	11574	2971
557	11595	2950
558	11615	2929
559	11633	2908
560	11655	2887
561	11675	2867
562	11696	2846
563	11718	2825
564	11739	2805
565	11759	2784
566	11781	2763
567	11800	2742
568	11818	2720
569	11839	2700
570	11859	2679
571	11877	2657
572	11898	2637
573	11923	2617
574	11946	2597
575	11965	2575
576	11988	2555
577	12009	2534
578	12027	2513
579	12047	2492
580	12067	2471
581	12091	2451
582	12110	2430
583	12130	2409
584	12148	2388
585	12169	2367
586	12188	2346
587	12208	2325
588	12228	2304
589	12248	2283
590	12268	2262
591	12289	2242
592	12311	2221
593	12332	2200
594	12351	2179
595	12372	2158
596	12390	2137
597	12412	2117
598	12430	2095
599	12452	2075
600	12471	2054
601	12490	2033
602	12512	2012
603	12532	1991
604	12552	1971
605	12575	1950
606	12593	1929
607	12613	1908
608	12636	1888
609	12653	1866
610	12675	1846
611	12695	1825
612	12714	1804
613	12733	1783
614	12751	1762
615	12771	1741
616	12790	1720
617	12811	1699
618	12829	1678
619	12851	1658
620	12872	1637
621	12889	1616
622	12909	1595
623	12930	1574
624	12952	1554
625	12974	1533
626	12991	1512
627	13012	1491
628	13034	1471
629	13054	1450
630	13075	1429
631	13096	1409
632	13116	1388
633	13136	1367
634	13157	1346
635	13177	1326
636	13195	1305
637	13219	1284
638	13242	1264
639	13262	1243
640	13283	1222
641	13305	1202
642	13329	1181
643	13350	1160
644	13373	1140
645	13393	1119
646	13412	1098
647	13435	1078
648	13461	1057
649	13486	1037
650	13507	1016
651	13530	996
652	13550	975
653	13572	954
654	13593	933
655	13612	913
656	13634	892
657	13654	871
658	13675	850
659	13696	830
660	13717	809
661	13736	788
662	13756	767
663	13775	746
664	13795	726
665	13814	705
666	13835	684
667	13854	663
668	13877	643
669	13897	622
670	13916	601
671	13936	580
672	13954	559
673	13973	539
674	13995	518
675	14014	497
676	14035	476
677	14054	456
678	14074	435
679	14097	414
680	14116	393
681	14136	373
682	14155	352
683	14176	331
684	14199	310
685	14225	290
686	14246	269
687	14268	248
688	14288	228
689	14314	207
690	14378	187
691	14405	166
692	14426	145
693	14445	124
694	14464	104
695	14486	83
696	14507	62
697	14525	41
698	14542	20
699	14566	0
