iter	Logloss
0	0.6819554625
1	0.6710300067
2	0.6611444877
3	0.6524411983
4	0.644627592
5	0.6373488797
6	0.6309692739
7	0.6247119521
8	0.6190429429
9	0.6134793108
10	0.6081856823
11	0.6038646165
12	0.5994202185
13	0.5952737306
14	0.5917136357
15	0.5888014451
16	0.5853426455
17	0.5819735174
18	0.5791739446
19	0.5764010179
20	0.5733065583
21	0.5705257502
22	0.5676943414
23	0.5649306797
24	0.5624754993
25	0.5604274238
26	0.5581231737
27	0.5559413999
28	0.5535864536
29	0.5517247322
30	0.5500207757
31	0.5483362263
32	0.5466624725
33	0.5451857069
34	0.5435906315
35	0.5422100524
36	0.5408966446
37	0.5393311132
38	0.5376468092
39	0.5359299713
40	0.5342899697
41	0.5328609132
42	0.5317606617
43	0.5306818624
44	0.5295168764
45	0.5283207744
46	0.5274845264
47	0.5264716576
48	0.5254460947
49	0.5241383621
50	0.5230575403
51	0.5222169389
52	0.521420358
53	0.5202129336
54	0.5191532948
55	0.5184529512
56	0.5174005714
57	0.5164820615
58	0.5155517568
59	0.5148169636
60	0.5139882979
61	0.5130837339
62	0.5117829106
63	0.5108933991
64	0.5102091771
65	0.5094382288
66	0.5088309905
67	0.508174813
68	0.5074799661
69	0.5066515137
70	0.505668608
71	0.5050990336
72	0.5043395432
73	0.503555638
74	0.5029825805
75	0.5021501106
76	0.5013746158
77	0.5005228085
78	0.4996934201
79	0.4992358798
80	0.4986149293
81	0.4979210104
82	0.4973447771
83	0.4965724162
84	0.4961857407
85	0.4954068114
86	0.4947020658
87	0.4940525104
88	0.4935036617
89	0.4924888039
90	0.4918820102
91	0.4910329173
92	0.4905221232
93	0.4899744534
94	0.4894528005
95	0.4886022307
96	0.4881162677
97	0.4875896164
98	0.4870904867
99	0.4865284693
100	0.486130686
101	0.4857639937
102	0.4850943293
103	0.4846160904
104	0.4840571399
105	0.4834934599
106	0.4828716074
107	0.4822215047
108	0.4818041064
109	0.4814868372
110	0.4808613239
111	0.4802968157
112	0.4799351887
113	0.4794981704
114	0.4790932793
115	0.478740345
116	0.4780794348
117	0.4774562478
118	0.477196745
119	0.476696275
120	0.4763498026
121	0.476099611
122	0.4755553259
123	0.4751313897
124	0.4746876109
125	0.4741272026
126	0.4736470873
127	0.4731754126
128	0.4726222894
129	0.472004597
130	0.4715120787
131	0.4711915764
132	0.4707750013
133	0.4705210217
134	0.4699434198
135	0.4695582537
136	0.4690625326
137	0.4685706654
138	0.4681584409
139	0.4678763351
140	0.4671790262
141	0.466893605
142	0.4665265338
143	0.4661997973
144	0.4658988006
145	0.4655441625
146	0.4652409438
147	0.4648198685
148	0.4646134522
149	0.4643317789
150	0.4639443171
151	0.4635810114
152	0.4631275536
153	0.4628079598
154	0.4623964505
155	0.4619340293
156	0.4615012569
157	0.4611062579
158	0.4607260834
159	0.4603843361
160	0.460169336
161	0.4598757343
162	0.4594979633
163	0.4590493654
164	0.4588700241
165	0.4584331933
166	0.4580990177
167	0.4578396852
168	0.4575971596
169	0.4572178861
170	0.4569739085
171	0.456631784
172	0.4563468899
173	0.4560826034
174	0.4556816266
175	0.4554423285
176	0.4551890288
177	0.454895704
178	0.4546083173
179	0.4541907249
180	0.4539183722
181	0.4537205574
182	0.4533579677
183	0.4531361622
184	0.4528569829
185	0.4524448032
186	0.452101308
187	0.4519046979
188	0.4515176222
189	0.4511584824
190	0.4508135075
191	0.4505416317
192	0.4503231162
193	0.449863558
194	0.449596735
195	0.449273933
196	0.4489887765
197	0.4487456578
198	0.4485087913
199	0.4481992047
200	0.4478383493
201	0.4474961206
202	0.4472233608
203	0.4470165709
204	0.4467518245
205	0.446297138
206	0.4460921406
207	0.4458302926
208	0.4456082572
209	0.4453731548
210	0.4449614582
211	0.4447804796
212	0.4445302142
213	0.444275787
214	0.4440597528
215	0.4437261327
216	0.443380317
217	0.4431666408
218	0.4429245502
219	0.4426897343
220	0.4423956182
221	0.4420163925
222	0.441706724
223	0.4414636155
224	0.4412283349
225	0.4409859215
226	0.4406215103
227	0.4402679993
228	0.4399731265
229	0.4397016751
230	0.4393731563
231	0.4391662155
232	0.4388151682
233	0.4385579027
234	0.43821972
235	0.4379929445
236	0.437802924
237	0.4373077236
238	0.436855108
239	0.436535902
240	0.4362333525
241	0.4359625266
242	0.4357010126
243	0.4355030827
244	0.4352259267
245	0.4350194771
246	0.4347202285
247	0.4342584422
248	0.4339602266
249	0.4333466471
250	0.4330661358
251	0.4328532164
252	0.4325561081
253	0.4322944782
254	0.4319822761
255	0.4317433215
256	0.4314966868
257	0.431271079
258	0.4309117657
259	0.430753386
260	0.4303563132
261	0.4300969495
262	0.4296413468
263	0.4292900353
264	0.4290614058
265	0.4288744467
266	0.4286049219
267	0.4283117656
268	0.4280977341
269	0.4279196939
270	0.4276286963
271	0.4274246243
272	0.4272210657
273	0.4269871171
274	0.4267088175
275	0.4265229222
276	0.4262773477
277	0.425989338
278	0.4257575305
279	0.4255095735
280	0.4252788263
281	0.425087507
282	0.4247558693
283	0.4244300779
284	0.4242356941
285	0.4239977947
286	0.4236641475
287	0.4234623114
288	0.4231955814
289	0.4229835086
290	0.4227727933
291	0.4225171147
292	0.4222825313
293	0.4220808973
294	0.421689019
295	0.4214436208
296	0.4211745254
297	0.4209779703
298	0.4207513478
299	0.4205701339
300	0.420401058
301	0.4200844537
302	0.4198983636
303	0.4196673024
304	0.4194063592
305	0.4191951811
306	0.4189893455
307	0.4187141252
308	0.4184204268
309	0.4181944117
310	0.4179569276
311	0.4177117432
312	0.4174848564
313	0.4173017469
314	0.4169421748
315	0.416733293
316	0.4165329478
317	0.4162556269
318	0.4160459169
319	0.4158141087
320	0.4155302178
321	0.415342167
322	0.4151829475
323	0.4149767805
324	0.4147934404
325	0.4146159499
326	0.4144105306
327	0.4142041492
328	0.4140043197
329	0.4138071815
330	0.4135955209
331	0.4133327452
332	0.4130904864
333	0.412943902
334	0.4127149811
335	0.4124916457
336	0.4123087374
337	0.4121269624
338	0.4118875885
339	0.4117237751
340	0.4114733703
341	0.4112605443
342	0.4110791885
343	0.4108538071
344	0.4106425447
345	0.4104083629
346	0.4102084215
347	0.4100175337
348	0.4098078218
349	0.409545051
350	0.4093618
351	0.4092020707
352	0.4090685138
353	0.4089277514
354	0.4087426502
355	0.4085750154
356	0.4083601628
357	0.4080816317
358	0.4078995702
359	0.4076399149
360	0.40744941
361	0.4071875272
362	0.4070341608
363	0.4068494865
364	0.4066462597
365	0.4064253506
366	0.4061806463
367	0.405881258
368	0.4056374246
369	0.4053908742
370	0.4051767828
371	0.4049763743
372	0.4048034161
373	0.4046480319
374	0.4044702584
375	0.4042555013
376	0.4041020213
377	0.4039650608
378	0.4037732219
379	0.4035537444
380	0.4033271989
381	0.4031296976
382	0.4029976681
383	0.4028607995
384	0.4026776203
385	0.4025146127
386	0.4022834434
387	0.4020986557
388	0.4018372086
389	0.4016893001
390	0.4015840675
391	0.4013868557
392	0.4011903335
393	0.4009973903
394	0.4008482414
395	0.4006806354
