exit_date,symbol,entry_date,entry_price,exit_price,return,reason,days_held
2025-05-21,MAVI,2025-04-18,31.44789126,33.061462,0.05130934620256644,TIME_EXIT,20
2025-05-22,EKGYO,2025-05-21,14.29056575,13.5760374625,-0.050000000000000044,STOP_LOSS,1
2025-05-23,TMSN,2025-05-09,86.1732,109.98929,0.27637467333231225,MODEL_TP,9
2025-05-28,OZKGY,2025-05-26,10.51208,9.986475999999998,-0.050000000000000155,STOP_LOSS,2
2025-06-03,TRGYO,2025-05-22,59.517300199999994,58.677538,-0.014109547932753763,PERF_FAIL_RELAXED,8
2025-06-11,SNGYO,2025-05-29,3.50672,3.87254,0.10431970616416475,MODEL_TP,7
2025-06-16,SDTTR,2025-06-04,175.45654349999998,206.8584105,0.17897233339718688,MODEL_TP,6
2025-06-16,BIMAS,2025-05-22,471.44070980000004,486.0091629,0.03090198363688268,WEAK_RS_EXIT,15
2025-06-18,AKFGY,2025-06-17,2.12302,2.016869,-0.050000000000000044,STOP_LOSS,1
2025-07-02,AEFES,2025-06-17,13.829324,15.493145,0.12031108678920255,MODEL_TP,11
2025-07-16,HLGYO,2025-07-03,3.15444109,3.5223835799999996,0.11664268867357408,MODEL_TP,8
2025-07-18,OTKAR,2025-07-07,419.48027,463.181455,0.10417935747013796,MODEL_TP,8
2025-07-18,ZOREN,2025-06-19,2.88658,3.214845,0.11372108169529338,TIME_EXIT,20
2025-07-30,CANTE,2025-07-21,1.7058900000000001,2.04572,0.19920979664573912,MODEL_TP,7
2025-07-30,TOASO,2025-07-30,225.71985,214.4338575,-0.050000000000000044,STOP_LOSS,0
2025-07-31,CANTE,2025-07-31,1.91496,1.8192119999999998,-0.050000000000000044,STOP_LOSS,0
2025-08-01,MAGEN,2025-07-21,15.824276000000001,16.810724,0.06233763870144826,MODEL_TP,9
2025-08-01,CANTE,2025-08-01,1.9230399999999999,1.8268879999999998,-0.050000000000000044,STOP_LOSS,0
2025-08-12,TLMAN,2025-08-04,87.00443,96.72594000000001,0.11173580471707023,MODEL_TP,6
2025-08-14,THYAO,2025-08-01,288.5732206,322.31067835000005,0.11691125628307875,MODEL_TP,9
2025-08-28,TRENJ,2025-08-15,52.86744,58.958725,0.11521808129918898,MODEL_TP,9
2025-09-02,TOASO,2025-08-08,233.60896,236.564235,0.012650520767696571,WEAK_RS_EXIT,17
2025-09-09,QUAGR,2025-09-03,8.28705,9.42663,0.13751334914112956,MODEL_TP,4
2025-09-16,TOASO,2025-09-03,229.29626000000002,263.63321,0.1497492806904046,MODEL_TP,9
2025-09-22,ALKA,2025-08-29,7.99112,12.16089,0.5218004484978327,MODEL_TP,16
2025-10-09,BIMAS,2025-09-17,525.3383699999999,545.80924,0.03896701853321716,WEAK_RS_EXIT,16
2025-10-10,NUHCM,2025-10-03,222.12829,257.33784499999996,0.1585099988839782,MODEL_TP,5
2025-10-13,FONET,2025-10-13,3.10209885,2.9469939075,-0.04999999999999993,STOP_LOSS,0
2025-10-17,MAGEN,2025-10-14,21.78065,24.5566,0.12745028270506142,MODEL_TP,3
2025-10-24,TAVHL,2025-10-16,228.12971000000002,256.69010000000003,0.12519364531695598,MODEL_TP,6
2025-10-27,MAGEN,2025-10-27,24.39251,23.1728845,-0.050000000000000155,STOP_LOSS,0
2025-10-28,MAGEN,2025-10-28,27.96084,26.562798,-0.050000000000000044,STOP_LOSS,0
2025-11-11,MGROS,2025-10-31,452.1632034,491.938945,0.08796766588017313,MODEL_TP,7
2025-11-11,AKFGY,2025-10-30,2.5967100000000003,2.6486899999999998,0.020017637703093394,WEAK_RS_EXIT,8
2025-11-25,EKGYO,2025-11-12,18.22747,20.08109,0.101693762217137,MODEL_TP,9
