symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
PAPIL,2024-07-17,0.04,0.0582,5.82,5.24,2000000.0,3.0
PAPIL,2023-08-09,0.23,0.0582,5.82,5.24,2000000.0,
PAPIL,2022-05-25,0.06,0.0087,0.87,0.79,300.0,1.0
PAPIL,2021-08-11,0.1,0.0145,1.45,1.24,500.0,5.0
PAPIL,2020-04-20,0.56,0.056,5.6,4.76,1925399.0,23.0
