symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
AEFES,2025-05-27,0.84,1.274,127.4,108.29,754342105.0,5.0
AEFES,2024-05-28,1.13,2.35,235.0,211.5,1391447368.0,4.0
AEFES,2023-09-18,1.02,1.0657,106.57,95.91,631006579.0,4.0
AEFES,2023-05-23,1.8,1.0657,106.57,95.91,631006579.0,4.0
AEFES,2022-05-20,6.13,1.8545,185.45,166.91,1098059210.0,103.0
AEFES,2021-05-28,7.85,1.9348,193.48,164.46,1145605263.0,141.0
AEFES,2020-07-14,7.81,1.774,177.4,150.79,1050394737.0,102.0
