symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
VBTYZ,2023-05-26,2.08,0.75,75.0,67.5,19500000.0,183.0
VBTYZ,2022-05-25,2.19,0.5,50.0,45.0,13000000.0,38.0
