symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
KORDS,2023-03-29,0.41,0.293,29.3,26.37,57000000.0,4.0
KORDS,2022-04-04,2.31,0.8225,82.25,74.02,160000000.0,21.0
KORDS,2020-03-26,2.78,0.25,25.0,21.25,48632269.0,14.0
