symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
BERA,2023-09-18,0.33,0.05,5.0,4.5,34160000.0,
BERA,2022-07-20,0.69,0.1,10.0,9.0,34160000.0,5.0
