symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
INDES,2024-07-05,3.89,0.3467,34.67,31.2,260000000.0,35.0
INDES,2023-05-02,4.75,0.8451,84.51,76.06,189291442.0,120.0
INDES,2022-05-25,5.85,0.5357,53.57,48.21,120000675.0,30.0
INDES,2021-05-28,2.85,0.1966,19.66,16.71,11011549.0,8.0
INDES,2020-06-29,3.3,0.3648,36.48,31.01,20429875.0,22.0
