symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
KARTN,2023-04-05,2.51,1.8371,183.71,165.34,137786220.0,26.0
KARTN,2022-04-05,3.15,1.8258,182.58,164.32,136937010.0,36.0
KARTN,2021-04-02,0.92,0.6497,64.97,55.23,48731168.0,36.0
KARTN,2020-05-08,0.91,4.0735,407.35,346.24,11556453.0,14.0
