symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
DOAS,2025-05-20,11.88,27.2727,2727.27,2318.18,6000000000.0,63.0
DOAS,2024-09-02,4.18,10.0,1000.0,900.0,2200000000.0,8.0
DOAS,2024-04-19,10.52,40.9091,4090.91,3681.82,9000000000.0,32.0
DOAS,2023-11-24,2.14,5.6818,568.18,511.36,1250000000.0,8.0
DOAS,2023-08-24,3.46,11.3636,1136.36,1022.73,2500000000.0,16.0
DOAS,2023-04-06,6.83,9.0909,909.09,818.18,2000000000.0,13.0
DOAS,2022-11-14,2.81,4.0909,409.09,368.18,900000000.0,39.0
DOAS,2022-04-08,7.99,5.6818,568.18,511.36,1250000000.0,54.0
DOAS,2021-07-12,5.11,1.3636,136.36,115.91,300000000.0,29.0
DOAS,2021-04-27,4.94,1.3636,136.36,115.91,300000000.0,29.0
