symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
HALKB,2018-08-15,2.45,0.149,14.9,12.67,186273000.0,5.0
HALKB,2017-06-12,1.55,0.2047,20.47,17.4,255826500.0,10.0
HALKB,2016-04-04,1.81,0.1852,18.52,15.74,231531250.0,10.0
HALKB,2015-04-07,1.3,0.1765,17.65,15.0,220576750.0,10.0
HALKB,2014-04-07,1.58,0.2201,22.01,18.71,275084375.0,10.0
HALKB,2013-04-10,2.01,0.3692,36.92,31.38,461474000.0,18.0
HALKB,2012-05-23,2.06,0.2454,24.54,20.86,306770085.0,15.0
HALKB,2011-05-27,2.69,0.3164,31.64,26.89,395485955.0,20.0
HALKB,2010-05-27,2.28,0.2351,23.51,19.98,293820589.0,18.0
HALKB,2009-05-22,3.31,0.2037,20.37,17.31,254578646.0,25.0
HALKB,2008-05-23,9.36,0.6786,67.86,57.68,848279550.0,75.0
