rebalance_date,n_universe,n_liquid,strategy_gross_ret,strategy_net_ret,market_ret,alpha_ret,hit_rate_nominal,alpha_positive,strategy_equity,market_equity,alpha_equity
2020-01-02,78,78,0.8618892093508,0.8608892093508,0.33800303081326827,0.5228861785375318,1.0,1.0,1.8608892093508,1.3380030308132682,1.5228861785375318
2020-06-25,82,82,1.3902743870893377,1.3892743870893378,0.0669401657773749,1.3223342213119629,1.0,1.0,4.446174925112795,1.4275691755065385,3.53665068758071
2020-12-16,88,88,5.675563773343574,5.674563773343574,0.15959897778651472,5.514964795557059,1.0,1.0,29.676278085106443,1.6554077566369199,23.041154723770994
2021-06-09,93,93,2.712803260201425,2.711803260201425,0.0560580991645871,2.655745161036838,1.0,1.0,110.1525057469422,1.748206768816299,84.23258988612689
2021-12-03,101,101,2.482978597096314,2.481978597096314,2.1833837381773344,0.2985948589189795,1.0,1.0,383.5486674273815,5.565212998821349,109.38400817955521
2022-05-26,104,104,1.790323097537924,1.7893230975379242,-0.10130361029253081,1.890626707830455,1.0,1.0,1069.8411570850867,5.001436829993825,316.18833545336724
2022-11-16,95,95,2.597152453088893,2.596152453088893,0.8084088761606367,1.7877435769282564,1.0,1.0,3847.311901466994,9.04464275691755,881.4520012597613
2023-05-12,105,105,3.5678551222968764,3.5668551222968765,-0.41310245711406385,3.9799575794109403,1.0,1.0,17570.11606428828,5.30827861031599,4389.59357456049
2023-11-03,108,108,6.744768603510463,6.743768603510462,1.0905690142274698,5.653199589282993,1.0,1.0,136058.91313867038,11.097322781613062,29204.84216738512
2024-04-26,110,110,1.3163137401044054,1.3153137401044055,0.0215434880462876,1.2937702520581178,1.0,1.0,315019.0710536353,11.336397822304539,66989.19817960051
2024-10-21,108,108,4.439582637157523,4.4385826371575225,0.08070775114045586,4.357874886017067,1.0,1.0,1713257.250205793,12.2513329965763,358919.7425609018
2025-04-11,110,110,0.4453144662112479,0.44431446621124787,-0.1149696264465234,0.5592840926577712,1.0,1.0,2474482.2308135303,10.842801818487956,559657.8451160366
