rebalance_date,n_universe,stock_ret,market_ret,realized_alpha,hedge_ratio,viop_pnl,strategy_ret,hit_rate_alpha,strategy_equity,stock_only_equity,market_equity
2020-01-02,85,0.4261701082454506,0.3380030308132682,0.08816707743218238,1.0,-0.3380030308132682,0.08816707743218238,0.6,1.0881670774321823,1.4261701082454505,1.3380030308132682
2020-06-25,85,1.3425853876409863,0.0669401657773749,1.2756452218636114,1.0,-0.0669401657773749,1.2756452218636114,1.0,2.4762822103478364,3.3409252558661566,1.4275691755065385
2020-12-16,88,5.6755637733435735,0.15959897778651472,5.515964795557059,1.0,-0.15959897778651472,5.515964795557059,1.0,16.135367706490722,22.302559607508723,1.6554077566369199
2021-06-09,96,3.2080027707313947,0.056058099164587115,3.151944671566808,1.0,-0.056058099164587115,3.151944671566808,1.0,66.9931539727353,93.8492326227988,1.748206768816299
2021-12-03,101,2.482978597096314,2.1833837381773344,0.2995948589189794,1.0,-2.1833837381773344,0.2995948589189794,0.6,87.0639584857344,326.87486857912137,5.565212998821349
2022-05-26,105,1.790323097537924,-0.10130361029253081,1.891626707830455,1.0,0.10130361029253081,1.891626707830455,1.0,251.7564676467916,912.0864958009959,5.001436829993825
2022-11-16,95,2.8289025460051542,0.8084088761606367,2.0204936698445177,1.0,-0.8084088761606367,2.0204936698445177,0.8,760.4288168695501,3492.2903059493524,9.04464275691755
2023-05-12,106,2.047219017213323,-0.41310245711406385,2.4603214743273867,1.0,0.41310245711406385,2.4603214743273867,1.0,2631.328164711072,10641.7734339186,5.30827861031599
2023-11-03,108,6.744768603510463,1.0905690142274698,5.654199589282992,1.0,-1.0905690142274698,5.654199589282992,1.0,17509.382792889184,82418.07277668451,11.097322781613062
2024-04-26,110,1.9311368151618438,0.0215434880462876,1.909593327115556,1.0,-0.0215434880462876,1.909593327115556,1.0,50945.18333610231,241578.6473504281,11.336397822304539
2024-10-21,108,4.573790915169415,0.08070775114045586,4.493083164028959,1.0,-0.08070775114045586,4.493083164028959,1.0,279846.12887191225,1346508.869900732,12.2513329965763
2025-04-11,110,1.2611756115628037,-0.1149696264465234,1.376145238009327,1.0,0.1149696264465234,1.376145238009327,1.0,664955.0464943388,3044693.0173725276,10.842801818487956
