symbol,period,item_code,item_name_tr,item_name_en,value
AKBNK,2020/3,1ALA,12.1 Finansal Kiralama Alacakları,12.1 Gross Finance Lease Receivables,0
AKBNK,2020/3,1ALB,12.2 Faaliyet Kiralaması Alacakları,12.2 Operational Lease Receivables,0
AKBNK,2020/3,1ALC,12.3 Diğer,12.3 Other,0
AKBNK,2020/3,1ALD,12.4 Kazanılmamış Gelirler (-),12.4 Unearned Income (-),0
AKBNK,2020/3,1AM,XIII. RİSKTEN KORUNMA AMAÇLI TÜREV FİNANSAL VARLIKLAR,XIII. DERIVATIVE FINANCIAL ASSETS FOR HEDGE PURPOSES,0
AKBNK,2020/3,1AMA,13.1 Gerçeğe Uygun Değer Riskinden Korunma Amaçlılar,13.1 Hedging For Fair Value Risk,0
AKBNK,2020/3,1AMB,13.2 Nakit Akış Riskinden Korunma Amaçlılar,13.2 Hedging For Cash Flow Risk,0
AKBNK,2020/3,1AMC,13.3 Yurtdışındaki Net Yatırım Riskinden Korunma Amaçlılar,13.3 Hedging For Net Investments Risk in Abroad,0
AKBNK,2020/3,1AN,XIV. MADDİ DURAN VARLIKLAR (Net),XIV. PROPERTY AND EQUIPMENT (Net),759183317
AKBNK,2020/3,1AO,XV. MADDİ OLMAYAN DURAN VARLIKLAR (Net),XV. INTANGIBLE ASSETS (Net),143971283
AKBNK,2020/3,1AOA,15.1 Şerefiye,17.1 Goodwill,0
AKBNK,2020/3,1AOB,15.2 Diğer,17.2 Other,143971283
AKBNK,2020/3,1AP,XVI. YATIRIM AMAÇLI GAYRİMENKULLER (Net),XVI. REAL ESTATES FOR INVESTMENT PURPOSE (Net),0
AKBNK,2020/3,1AR,XVII. VERGİ VARLIĞI,XVII. TAX ASSETS,0
AKBNK,2020/3,1ARA,17.1 Cari Vergi Varlığı,17.1 Current Tax Assets,0
AKBNK,2020/3,1ARB,17.2 Ertelenmiş Vergi Varlığı,17.2 Deferred Tax Assets,0
AKBNK,2020/3,1AS,XVIII. SATIŞ AMAÇLI  FAALİYETLERE İLİŞKİN DUV,XVIII. PROPERTY AND EQU. OPER.(Net),24865152
AKBNK,2020/3,1ASA,18.1 Satış Amaçlı,18.1 Held For Sale Purpose,24865152
AKBNK,2020/3,1ASB,18.2 Durdurulan Faaliyetlere İlişkin,18.2 Held From Terminated Operations,0
AKBNK,2020/3,1AT,XIX. DİĞER AKTİFLER,XIX. OTHER ASSETS,1020530882
AKBNK,2020/3,1Z,AKTİF TOPLAMI,TOTAL ASSETS,59854490770
AKBNK,2020/3,2A,I. MEVDUAT,I. DEPOSITS,37754409785
AKBNK,2020/3,2AA,1.1 Bankanın Dahil Olduğu Risk Grubunun Mevduatı,1.1 Deposits Held By The Bank's Risk Group,0
AKBNK,2020/3,2AB,1.2 Diğer,1.2 Other,0
AKBNK,2020/3,2B,II. ALIM SATIM AMAÇLI TÜREV FİNANSAL BORÇLAR,II. TRADING DERIVATIVE FINANCIAL LIABILITIES,0
AKBNK,2020/3,2C,III. ALINAN KREDİLER,III. FUNDS BORROWED,4909003723
AKBNK,2020/3,2D,IV. PARA PİYASALARINA BORÇLAR,IV. FUNDS FROM MONEY MARKET,2618990048
AKBNK,2020/3,2DA,4.1 Bankalararası Para Piyasalarına Borçlar,4.1 Interbank Money Market Payables,0
AKBNK,2020/3,2DB,4.2 İMKB Takasbank Piyasasına Borçlar,4.2 Istanbul Stock Exchange Money Market Payables,0
AKBNK,2020/3,2DC,4.3 Repo İşlemlerinden Sağlanan Fonlar,4.3 Funds Provided Under Repurchase Agreements,0
AKBNK,2020/3,2E,V. İHRAÇ EDİLEN MENKUL KIYMETLER (Net),V. MARKETABLE SECURITIES ISSUED (Net),1776951303
AKBNK,2020/3,2EA,5.1 Bonolar,5.1 Bills,453185596
AKBNK,2020/3,2EB,5.2 Varlığa Dayalı Menkul Kıymetler,5.2 Asset Backed Securities,0
AKBNK,2020/3,2EC,5.3 Tahviller,5.3 Bonds,1323765707
AKBNK,2020/3,2F,VI. FONLAR,VI. FUNDS,0
AKBNK,2020/3,2FA,6.1 Müstakriz Fonları,6.1 Borrower Funds,0
AKBNK,2020/3,2FB,6.2 Diğer,6.2 Other,0
AKBNK,2020/3,2G,VII. MUHTELİF BORÇLAR,VII. MISCELLANEOUS PAYABLES,0
AKBNK,2020/3,2H,VIII. DİĞER YABANCI KAYNAKLAR,VIII. OTHER EXTERNAL RESOURCES,0
AKBNK,2020/3,2I,IX. FAKTORİNG BORÇLARI,IX. FACTORING PAYABLES,0
AKBNK,2020/3,2J,X. KİRALAMA İŞLEMLERİNDEN BORÇLAR,X. LEASING TRANSACTONS PAYABLES,87378105
AKBNK,2020/3,2JA,10.1 Finansal Kiralama Borçları,10.1 Gross Financial Lease Payables,0
AKBNK,2020/3,2JB,10.2 Faaliyet Kiralaması Borçları,10.2 Operational Financial Lease Payables,0
AKBNK,2020/3,2JC,10.3 Diğer,10.3 Other,0
AKBNK,2020/3,2JD,10.4 Ertelenmiş Finansal Kiralama Giderleri ( - ),10.4 Deferred Finance Leasing Expenses ( - ),0
