date,regime_val,risk_mult,strategy_ret,market_ret,alpha_ret,hit_rate,equity,market_equity,alpha_equity
2025-01-02,0.0389425730920633,1.0,0.006064777278403923,0.1154819294476485,-0.10941715216924458,0.16578759323096373,1.0003023687310792,1.0054792834262825,0.9942227953303603
2025-01-03,0.0389545759663727,1.0,-0.030027993829650677,0.1154819294476485,-0.14550992327729917,0.008519873166721807,0.9987786660869902,1.0109885893994304,0.9864363498937575
2025-01-07,0.041234469514829,1.0,-0.02923374253464748,-0.0552599860123905,0.026026243477743023,0.008184595712841294,0.9972980982164498,1.008119161246243,0.9877044057131806
2025-01-08,0.1097113116842061,1.0,0.003474953075795863,-0.146962216362178,0.15043716943797386,0.32119647756618597,0.9974710910520426,1.0001388159449736,0.9946496547303706
2025-01-09,0.164024173029782,1.0,-0.004230369445312653,-0.2013377718872867,0.19710740244197403,0.14950510221536373,0.9972596823655713,0.9889593483624498,1.0036372967863028
2025-01-10,0.1571801950677749,1.0,0.026110234050347656,-0.0919055063091454,0.11801574035949305,0.8210248048348469,0.9985457383651198,0.984203697325719,1.0092509989072573
2025-01-14,0.1544673881421618,1.0,0.007114959300606406,-0.0122626829063957,0.019377642207002107,0.6061179072479645,0.998899773963327,0.9835967052066368,1.0102199554550566
2025-01-15,0.1537911726535916,1.0,-0.004165342600630892,-0.0122626829063957,0.008097340305764807,0.4259940375060296,0.9986913232453423,0.9829900874403776,1.010627395294868
2025-01-16,0.1531157488715862,1.0,0.054053864426379314,-0.0122626829063957,0.06631654733277502,0.7373729517377443,1.001323518938353,0.9823838437960655,1.0138772402297558
2025-01-17,0.1524411154065748,1.0,0.019924006931364,-0.0122626829063957,0.0321866898377597,0.9999999999999999,1.002311717843662,0.9817779740429664,1.0154844716256506
2025-01-21,0.1479647051359556,1.0,0.11370678410477332,-0.0122626829063957,0.125969467011169,0.5655545210523509,1.0077234176839214,0.9811724779504889,1.0215264530436787
2025-01-22,0.1473300881809673,1.0,0.11732310532604895,-0.0122626829063957,0.12958578823244465,0.9999999999999999,1.0133285757729076,0.9805673552881837,1.0277691520325982
2025-01-23,0.1466961724952065,1.0,0.07929247007497747,-0.0122626829063957,0.09155515298137318,0.6472203858620684,1.0172020979972338,0.9799626058257437,1.0322808306865778
