entry,exit,symbol,weight,future_raw,future_eff
2025-01-02,2025-01-22,IPEKE,0.1783674165982366,-0.0052631578947367,-0.0052631578947367
2025-01-02,2025-01-22,KFEIN,0.35914374351525596,-0.1238107973866198,-0.03
2025-01-02,2025-01-22,KARTN,0.29670124665554376,-0.1394779771615008,-0.03
2025-01-02,2025-01-22,OYAKC,0.010210212939619219,0.0744865502321217,0.0744865502321217
2025-01-02,2025-01-22,TEZOL,0.15557738029134452,0.1730224488350682,0.1730224488350682
2025-01-03,2025-01-23,IPEKE,0.15179522572372353,-0.0289608177172061,-0.0289608177172061
2025-01-03,2025-01-23,KFEIN,0.39880753312638567,-0.1858351556084555,-0.03
2025-01-03,2025-01-23,OYAKC,0.008519873166721807,0.0655722280403192,0.0655722280403192
2025-01-03,2025-01-23,KARTN,0.252807842817342,-0.1324717285945071,-0.03
2025-01-03,2025-01-23,CIMSA,0.18806952516582714,-0.0979296721567789,-0.03
2025-01-07,2025-01-27,OYAKC,0.008184595712841294,0.0390099500336122,0.0390099500336122
2025-01-07,2025-01-27,CIMSA,0.24061308806976986,-0.1805321850264944,-0.03
2025-01-07,2025-01-27,IPEKE,0.15178893550822212,-0.0220848056537102,-0.0220848056537102
2025-01-07,2025-01-27,KARTN,0.26638673177333605,-0.2147859922178987,-0.03
2025-01-07,2025-01-27,KFEIN,0.33302664893583067,-0.1684939411425273,-0.03
2025-01-08,2025-01-28,KARTN,0.21376490560889427,-0.2176375404530743,-0.03
2025-01-08,2025-01-28,CIMSA,0.21873671219651739,-0.1878575302838546,-0.03
2025-01-08,2025-01-28,TCELL,0.24630190462840235,-0.0431584059280815,-0.03
2025-01-08,2025-01-28,OYAKC,0.13627227129513433,0.0479168016587832,0.0479168016587832
2025-01-08,2025-01-28,BERA,0.18492420627105166,0.0990099009900988,0.0990099009900988
2025-01-09,2025-01-29,CIMSA,0.22921877396437335,-0.1456246794775106,-0.03
2025-01-09,2025-01-29,TCELL,0.2655530892257718,-0.0250000708993918,-0.0250000708993918
2025-01-09,2025-01-29,SNGYO,0.19146725593317362,-0.0130718954248366,-0.0130718954248366
2025-01-09,2025-01-29,OYAKC,0.14950510221536373,0.0955044602113814,0.0955044602113814
