date,open,high,low,close,volume,symbol
2023-01-04,34.675877,34.675877,34.675877,34.6759,535920.0,SDTTR
2023-01-05,38.14347,38.14347,38.14347,38.1435,1322171.84,SDTTR
2023-01-06,41.945995,41.945995,41.945995,41.946,2814623.16,SDTTR
2023-01-09,46.122852,46.122852,46.122852,46.1229,3071298.36,SDTTR
2023-01-10,50.733166,50.733166,50.733166,50.7332,4536223.0,SDTTR
2023-01-11,55.806488,55.806488,55.806488,55.8065,7541928.0,SDTTR
2023-01-12,61.372364,61.372364,61.372364,61.3724,14385444.0,SDTTR
2023-01-13,67.45245,67.48004,65.90387,67.48,788935187.0,SDTTR
2023-01-16,72.234184,74.22805,68.21888,74.2281,352904622.0,SDTTR
2023-01-17,81.5878,81.61637,80.58201,81.6164,78373276.0,SDTTR
2023-01-18,89.74353,89.74353,89.74353,89.7435,32805748.0,SDTTR
2023-01-19,97.00182,98.70803,91.96003,98.708,181970478.0,SDTTR
2023-01-20,106.49139,108.559135,102.0574,108.5591,337747945.0,SDTTR
2023-01-23,110.8505,117.72066,103.436554,108.8547,380712517.0,SDTTR
2023-01-24,100.83292,106.982956,97.9692,97.9692,220434971.0,SDTTR
2023-01-25,101.850525,107.67254,94.07801,107.6725,198003264.0,SDTTR
2023-01-26,116.925674,118.41023,109.44574,118.4102,175714343.0,SDTTR
2023-01-27,127.47817,130.23157,120.97152,130.2316,322792702.0,SDTTR
2023-01-30,127.95694,141.36328,117.2281,133.975,291356655.0,SDTTR
2023-01-31,125.1011,131.5122,120.577484,120.5775,173267564.0,SDTTR
2023-02-01,110.86527,117.81917,108.559135,108.5591,105432095.0,SDTTR
2023-02-02,99.57691,106.29337,97.72292,99.4961,184552107.0,SDTTR
2023-02-03,97.66676,103.83061,91.96003,99.4961,131639357.0,SDTTR
2023-02-06,91.24484,96.39303,89.54651,89.5465,83757537.0,SDTTR
2023-02-07,82.962036,89.49725,80.631256,80.6313,66531698.0,SDTTR
2023-02-15,84.73228,88.46289,76.00124,85.6553,371160313.0,SDTTR
2023-02-16,81.03023,89.9898,77.13412,78.4148,301242105.0,SDTTR
2023-02-17,75.06835,83.2418,71.32197,71.7653,281683891.0,SDTTR
2023-02-20,71.27271,73.48922,68.95771,70.8294,213403599.0,SDTTR
2023-02-21,74.33542,77.87296,69.006966,75.7057,311652847.0,SDTTR
2023-02-22,79.42056,83.2418,73.636986,83.2418,152796239.0,SDTTR
2023-02-23,89.19778,91.56598,84.86723,91.566,80393298.0,SDTTR
2023-02-24,94.03466,100.08719,84.965744,93.0929,695195495.0,SDTTR
2023-02-27,95.52219,98.21547,90.236084,94.4228,346842485.0,SDTTR
2023-02-28,93.69283,97.18111,90.925674,92.8466,425452841.0,SDTTR
2023-03-01,93.015076,95.85122,90.67938,91.9108,468057946.0,SDTTR
2023-03-02,90.27746,93.4377,86.29565,86.4434,208421784.0,SDTTR
2023-03-03,89.46867,92.69886,83.931366,89.054,390873902.0,SDTTR
2023-03-06,90.87247,92.60035,88.709175,89.842,213200533.0,SDTTR
2023-03-07,91.827034,95.01386,88.65991,90.6301,414661755.0,SDTTR
2023-03-08,96.97621,99.69314,89.8913,99.6931,411372350.0,SDTTR
2023-03-09,105.80476,109.64276,99.200584,100.4812,744982927.0,SDTTR
2023-03-10,101.85545,106.19488,96.540794,101.9589,421133519.0,SDTTR
2023-03-13,109.580696,112.10553,102.648476,112.1055,517242130.0,SDTTR
2023-03-14,117.73346,122.64621,110.13531,115.3564,980058489.0,SDTTR
2023-03-15,122.05119,126.88218,115.84895,126.8822,892409428.0,SDTTR
2023-03-16,135.38074,139.49161,130.6256,139.4916,984798563.0,SDTTR
2023-03-17,145.484,152.19951,136.24074,145.6978,1182022577.0,SDTTR
2023-03-20,136.44366,149.14566,131.21666,131.2167,832256186.0,SDTTR
2023-03-21,131.3723,142.34842,119.59237,134.4675,1739456065.0,SDTTR
2023-03-22,139.14977,142.9395,129.24641,129.2464,698254828.0,SDTTR
2023-03-23,127.45356,134.36902,123.4343,124.5179,574821652.0,SDTTR
2023-03-24,131.78015,136.9303,123.335785,134.9601,911906600.0,SDTTR
2023-03-27,132.4963,137.7184,128.35985,128.3598,510511552.0,SDTTR
2023-03-28,121.61775,127.8673,117.03108,120.1834,387376833.0,SDTTR
2023-03-29,123.75347,130.33006,113.977234,120.2819,776619602.0,SDTTR
2023-03-30,128.25935,132.3003,121.661095,132.3003,617921965.0,SDTTR
2023-03-31,139.50046,144.02309,134.46754,137.4229,1108813996.0,SDTTR
2023-04-03,130.24928,140.08267,125.60154,126.2911,745311035.0,SDTTR
2023-04-04,116.70303,128.16283,113.68171,114.2728,1068125244.0,SDTTR
2023-04-05,119.21508,123.335785,114.96234,118.7058,629887554.0,SDTTR
2023-04-06,120.96069,124.22238,116.53853,119.3953,408364012.0,SDTTR
2023-04-07,117.50295,121.56259,114.27276,116.046,331069431.0,SDTTR
2023-04-10,116.95916,119.0013,114.765335,116.44,293962605.0,SDTTR
2023-04-11,113.53887,118.0162,111.51446,112.1055,231230150.0,SDTTR
2023-04-12,115.08944,118.50874,110.62787,113.3862,248989022.0,SDTTR
2023-04-13,113.077835,115.25789,111.31744,112.3026,147459171.0,SDTTR
2023-04-14,112.50056,115.15937,110.43085,111.9085,347967192.0,SDTTR
2023-04-17,108.79162,112.893616,104.42168,105.1112,182312649.0,SDTTR
2023-04-18,109.028046,114.56831,102.25443,110.3323,626642610.0,SDTTR
2023-04-19,107.595695,111.31744,105.70232,105.9978,191681741.0,SDTTR
2023-04-20,104.46699,106.88445,103.633575,104.3232,58704951.0,SDTTR
2023-04-24,105.45307,108.263596,103.14103,103.9291,186827873.0,SDTTR
2023-04-25,101.32054,104.81571,98.80655,99.4961,127603100.0,SDTTR
2023-04-26,98.01255,101.8604,95.26015,95.5557,265572554.0,SDTTR
2023-04-27,99.452774,102.45145,95.06313,100.7768,268470809.0,SDTTR
2023-04-28,97.652985,102.8455,95.407906,95.9005,128471015.0,SDTTR
2023-05-02,91.12859,97.32888,86.59118,86.5912,228672176.0,SDTTR
2023-05-03,81.1051,86.98522,78.80881,81.2223,194083764.0,SDTTR
2023-05-04,86.733025,89.30023,79.793915,85.6061,299145107.0,SDTTR
2023-05-05,83.488075,86.98522,81.61637,82.2567,116545121.0,SDTTR
2023-05-08,81.64888,84.4732,79.547646,81.9119,190264068.0,SDTTR
2023-05-09,81.16815,83.73437,77.72519,77.7744,95466236.0,SDTTR
2023-05-10,78.90338,81.665634,75.656456,78.8088,111608145.0,SDTTR
2023-05-11,81.26174,84.52245,76.9371,81.9612,171233122.0,SDTTR
2023-05-12,83.29993,86.68969,80.77903,83.5373,138637042.0,SDTTR
2023-05-15,87.396996,90.63013,78.85807,86.1971,217099625.0,SDTTR
2023-05-16,91.698975,94.81684,86.78819,94.8168,170587897.0,SDTTR
2023-05-17,102.29384,104.22464,97.42739,104.2246,76900396.0,SDTTR
2023-05-18,106.20964,112.30255,100.1857,103.9291,673232802.0,SDTTR
2023-05-22,109.421104,114.27276,104.42168,114.2728,455670171.0,SDTTR
2023-05-23,119.83076,123.92686,114.765335,117.1296,615807463.0,SDTTR
2023-05-24,110.58945,118.1147,106.19488,109.4457,475166676.0,SDTTR
2023-05-25,113.24531,116.83405,106.785934,112.7951,410397614.0,SDTTR
2023-05-26,113.44232,115.94746,111.31744,114.1743,234742453.0,SDTTR
2023-05-29,124.45191,125.50304,117.81917,125.503,525607306.0,SDTTR
2023-05-30,128.38744,132.49731,124.320885,125.6015,729660268.0,SDTTR
2023-05-31,123.649055,128.26135,120.18343,120.676,351535242.0,SDTTR
2023-06-01,122.44623,125.50304,120.380455,121.1685,219658292.0,SDTTR
2023-06-02,121.6079,123.72983,119.198326,122.3507,231284481.0,SDTTR
2023-06-05,122.35757,124.61643,121.07003,121.5626,245638148.0,SDTTR
2023-06-06,117.99944,122.05514,116.53853,116.7355,188642748.0,SDTTR
2023-06-07,119.85934,122.64621,115.84895,119.0013,439507724.0,SDTTR
2023-06-08,116.53853,119.986404,114.371284,114.7653,194869186.0,SDTTR
2023-06-09,115.08549,117.425125,113.28766,113.7802,145817452.0,SDTTR
2023-06-12,113.97921,116.63704,111.908516,112.1055,198677731.0,SDTTR
2023-06-13,109.098976,112.30255,105.6038,105.6038,119248897.0,SDTTR
2023-06-14,113.098526,116.144485,104.6187,116.1445,327352538.0,SDTTR
2023-06-15,114.131905,120.18343,111.12043,111.9085,341881175.0,SDTTR
2023-06-16,116.36175,120.00133,111.79695,114.4659,305941222.0,SDTTR
2023-06-19,111.999596,116.34395,107.744194,107.7442,146210864.0,SDTTR
2023-06-20,110.135315,113.57622,104.77875,110.5119,163695062.0,SDTTR
2023-06-21,109.44734,113.18082,107.15111,108.2384,111222589.0,SDTTR
2023-06-22,110.02955,112.58773,107.15111,110.5119,158797519.0,SDTTR
2023-06-23,111.83155,113.47738,109.81999,111.9947,155647284.0,SDTTR
2023-06-26,114.45497,117.43129,112.29119,114.6635,278453225.0,SDTTR
2023-06-27,115.739,118.32091,112.88427,115.2566,125979261.0,SDTTR
2023-07-03,120.45701,123.95524,116.838196,120.891,290635063.0,SDTTR
2023-07-04,118.99506,121.78058,117.134735,117.7278,202461969.0,SDTTR
2023-07-05,120.69524,123.461006,118.32091,119.7048,278927729.0,SDTTR
2023-07-06,120.99672,123.263306,119.111694,120.4956,460677409.0,SDTTR
2023-07-07,126.642914,132.45615,119.111694,125.3391,727164297.0,SDTTR
2023-07-10,134.53691,137.79395,128.50224,137.7939,350764986.0,SDTTR
2023-07-11,145.00392,150.05109,137.39857,143.626,855362419.0,SDTTR
2023-07-12,138.7498,143.62599,136.90433,136.9043,423992625.0,SDTTR
2023-07-13,143.45299,150.54532,134.92735,143.3294,740393577.0,SDTTR
2023-07-14,140.4579,144.51561,138.38704,139.2767,317141906.0,SDTTR
2023-07-17,143.87605,147.67873,139.67206,142.6375,340603253.0,SDTTR
2023-07-18,139.74818,144.911,129.58957,134.0377,280914789.0,SDTTR
2023-07-19,141.50867,147.38219,130.08382,147.3822,491892916.0,SDTTR
