symbol,split_date,split_factor,cumulative_split_factor
AKBNK,2021-03-26,1.0,1.0
AKBNK,2022-03-30,1.0,1.0
AKBNK,2023-03-30,1.0,1.0
AKBNK,2024-03-26,1.0,1.0
AKBNK,2025-03-26,1.0,1.0
