symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,total_debt
KOZAA,2022/3,2022-04-29 18:23:22,0.03448890656486148,0.030289568764875246,,0.13863973543446143,8.781857907923563,,,27374024.0,,903744263.0,,793705186.0,78554711.0,689856310.0,31484366.0,,0.0,,67063684.0,110039077.0
KOZAA,2022/6,2022-08-09 20:16:25,0.05285259573878182,0.04665460837955167,,0.1328483417716712,9.403581158782579,,,38882119.0,,833403609.0,,735670944.0,68403669.0,643239453.0,29328996.0,,0.0,,114267487.0,97732665.0
KOZAA,2022/9,2022-10-31 18:16:37,0.09696217450714643,0.08425013114258194,,0.15088455438307227,8.591268833182589,,,63033295.0,,748168509.0,,650081285.0,70698088.0,607386280.0,27389137.0,,0.0,,181988540.0,98087225.0
KOZAA,2022/12,2023-03-01 21:51:30,-0.06913478403653278,-0.06157069160890226,,0.12285215881913465,10.002557582254203,,,-97877803.0,,1589681721.0,,1415753363.0,101695654.0,1017216635.0,72232703.0,,0.0,,384219132.0,173928357.0
KOZAA,2023/3,2023-05-02 18:15:55,0.04615493207182101,0.0388054320427366,,0.18939358853137794,6.75548145944037,,0.18598610127615875,32465212.0,,836615141.0,,703396377.0,101927371.0,688568465.0,31291393.0,,0.0,,19795810.0,133218764.0
KOZAA,2023/6,2023-08-09 19:19:57,0.0845350125016325,0.0702902718863915,,0.20265593279059213,6.2137385245886785,,0.20747133148787492,46949044.0,,667930892.0,,555379867.0,84428673.0,524617698.0,28122352.0,,0.0,,59947806.0,112551025.0
KOZAA,2023/9,2023-10-30 18:13:08,0.1257007004142385,0.1064603525767934,,0.18072782555532854,6.027445454766779,,0.10798017143162197,69839641.0,,656015496.0,,555602640.0,73606432.0,443658754.0,26806425.0,,0.0,,131478359.0,100412857.0
KOZAA,2023/12,2024-05-24 22:24:17,0.014936767665522672,0.013414555468019382,,0.11347466571906013,5.856144787872619,,-1.1817284149706548,17787178.0,,1325961046.0,,1190831805.0,102493888.0,600219048.0,32635353.0,,0.0,,201850553.0,135129241.0
KOZAA,2024/3,2024-05-24 22:24:17,-0.011672422510278321,-0.010286591544560686,,0.13472207699710367,5.0206451694157765,,-1.29858523640628,-9693633.0,,942356169.0,,830473108.0,81464432.0,409004007.0,30418630.0,,0.0,,40924798.0,111883062.0
KOZAA,2024/6,2024-07-17 18:11:06,-0.012552792356801767,-0.011290101855851432,,0.11184048798425228,6.5889575408189724,,-1.2349660836544403,-11031433.0,,977088882.0,,878803113.0,66364728.0,437274375.0,31921041.0,,0.0,,68605364.0,98285769.0
KOZAA,2024/9,2024-09-30 22:48:25,-0.06142070281943475,-0.0560292383328291,,0.09622591073929776,7.953076842490327,,-1.8253974558660746,-57645462.0,,1028846076.0,,938534718.0,58226900.0,463083010.0,32084458.0,,0.0,,85035068.0,90311358.0
KOZAA,2024/12,2025-03-25 18:53:42,-0.05959629341142679,-0.0541056685228858,,0.1014796607904132,6.73806314375785,,-4.564822761654491,-63408137.0,,1171931495.0,,1063961085.0,71803202.0,483814509.0,36167208.0,,0.0,,103390062.0,107970410.0
KOZAA,2025/3,2025-06-03 18:11:09,0.007097853803887697,0.006389876495760281,,0.11079671341504789,6.673081414958759,,-1.6951214266106422,6738252.0,,1054519912.0,,949336544.0,69171797.0,461589033.0,36011572.0,,0.0,,34985040.0,105183369.0
KOZAA,2025/6,2025-08-18 18:21:23,0.02341813150342488,0.021262235568821484,,0.10139554364475015,7.257573362691632,,-3.0977243844929303,23140906.0,,1088357145.0,,988161929.0,64360677.0,467102335.0,35834539.0,,0.0,,74039152.0,100195216.0
