symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,total_debt
ISCTR,2015/3,2020-02-07 18:59:06,0.031992746989314896,0.0036063298803070626,,0.0,,,,912144170.0,,252928656078.0,252928656078.0,28510967511.0,,,,,1120315611.0,,,0
ISCTR,2015/6,2020-02-07 18:59:06,0.06313249314319062,0.006784175985324531,,0.0,,,,1819987372.0,,268269481207.0,268269481207.0,28828061136.0,,,,,2192926579.0,,,0
ISCTR,2015/9,2020-02-07 18:59:06,0.07449043592038901,0.007853684958699507,,0.0,,,,2198556537.0,,279939486822.0,279939486822.0,29514614995.0,,,,,2713927678.0,,,0
ISCTR,2015/12,2020-02-07 18:59:06,0.09622887348805254,0.01118061080906202,,0.0,,,,3082667917.0,,275715519451.0,275715519451.0,32034750125.0,,,,,3783668668.0,,,0
ISCTR,2016/3,2020-02-07 18:59:06,0.029023257514413352,0.0035106372913191464,,0.0,,,0.062330688360371804,968998744.0,,276017903187.0,276017903187.0,33386973999.0,,,,,1112280671.0,,,0
ISCTR,2016/6,2020-02-07 18:59:06,0.06617147319603343,0.00793466554691642,,0.0,,,0.25682238634785426,2287400872.0,,288279431373.0,288279431373.0,34567779158.0,,,,,2681274923.0,,,0
ISCTR,2016/9,2020-02-07 18:59:06,0.0952742330836005,0.011392201537605314,,0.0,,,0.5176057380597623,3336542016.0,,292879475928.0,292879475928.0,35020402768.0,,,,,4037493767.0,,,0
ISCTR,2016/12,2020-02-07 18:59:06,0.13073074953825983,0.015086056082282816,,0.0,,,0.5250331610727306,4701170798.0,,311623579573.0,311623579573.0,35960711727.0,,,,,5753738916.0,,,0
ISCTR,2017/3,2020-02-07 18:59:06,0.043926161773283685,0.004925936001297926,,0.0,,,0.6950844479113174,1642534701.0,,333446212165.0,333446212165.0,37393085002.0,,,,,2013166925.0,,,0
ISCTR,2017/6,2020-02-07 18:59:06,0.07651265665396896,0.008973318994285492,,0.0,,,0.3357890863827563,3055485121.0,,340507801288.0,340507801288.0,39934374973.0,,,,,2909090217.0,,,0
ISCTR,2017/9,2020-02-07 18:59:06,0.1113083107425206,0.0131543999350966,,0.0,,,0.36583560289264466,4557167876.0,,346436773892.0,346436773892.0,40941847429.0,,,,,4344047472.0,,,0
ISCTR,2017/12,2020-02-07 18:59:06,0.14426857621120948,0.017119088222995585,,0.0,,,0.31908259271034467,6201232565.0,,362240820552.0,362240820552.0,42983945138.0,,,,,5831569333.0,,,0
ISCTR,2018/3,2020-02-07 18:59:06,0.04036335425265311,0.004870964698968339,,0.0,,,0.09998252694449468,1806759471.0,,370924361530.0,370924361530.0,44762371821.0,,,,,1696603296.0,,,0
ISCTR,2018/6,2020-02-07 18:59:06,0.07398870615379398,0.008372284609961691,,0.0,,,0.09147546001092113,3334987028.0,,398336557268.0,398336557268.0,45074271485.0,,,,,2836657759.0,,,0
ISCTR,2018/9,2020-02-07 18:59:06,0.09815840207373971,0.010292484504506807,,0.0,,,0.003533308501712084,4573269756.0,,444330982864.0,444330982864.0,46590711130.0,,,,,3141921473.0,,,0
ISCTR,2018/12,2020-02-07 18:59:06,0.1361423983809915,0.016256691926681575,,0.0,,,0.0915627245145901,6769034314.0,,416384486126.0,416384486126.0,49720251696.0,,,,,4921092151.0,,,0
ISCTR,2019/3,2020-02-07 18:59:06,0.02892044733863665,0.003422591967890187,,0.0,,,-0.19305745651187456,1457951083.0,,425978643285.0,425978643285.0,50412466513.0,,,,,1072422970.0,,,0
ISCTR,2019/6,2020-02-07 18:59:06,0.04592963289389793,0.005566981420220072,,0.0,,,-0.2775798107242293,2409261960.0,,432777079379.0,432777079379.0,52455502215.0,,,,,1233255765.0,,,0
ISCTR,2019/9,2020-02-07 18:59:06,0.06879094660704933,0.008643301825887791,,0.0,,,-0.17835595460553452,3757599863.0,,434741252671.0,434741252671.0,54623464981.0,,,,,2143252951.0,,,0
ISCTR,2019/12,2020-02-07 18:59:06,0.1030614895814318,0.012963282180344227,,0.0,,,-0.10362859522653027,6067568797.0,,468058066822.0,468058066822.0,58873288380.0,,,,,4068242795.0,,,0
ISCTR,2020/3,2020-05-08 18:21:03,0.024877752074177487,0.00284440010004818,,0.0,,,-0.0012627213776005679,1456110097.0,,511921686747.0,511921686747.0,58530613725.0,,,,,1086728863.0,,,0
ISCTR,2020/6,2020-08-07 18:36:04,0.04797420730212765,0.005552359741638852,,0.0,,,0.2597684782272493,3035112273.0,,546634658817.0,546634658817.0,63265501270.0,,,,,2501866266.0,,,0
ISCTR,2020/9,2020-11-06 18:21:41,0.08006770420669884,0.008680946768941248,,0.0,,,0.37963071402209064,5184100182.0,,597181427324.0,597181427324.0,64746457181.0,,,,,3999779050.0,,,0
ISCTR,2020/12,2021-02-08 18:22:09,0.10048349214642417,0.01146807393398181,,0.0,,,0.1225083381613283,6810896567.0,,593900650293.0,593900650293.0,67781248656.0,,,,,5449064653.0,,,0
ISCTR,2021/3,2021-05-07 18:32:29,0.02783069276206657,0.0029384361812562036,,0.0,,,0.27304552232632445,1853694439.0,,630843865463.0,630843865463.0,66606119181.0,,,,,747472758.0,,,0
ISCTR,2021/6,2021-08-10 18:54:45,0.05738020651162189,0.0061200726966416765,,0.0,,,0.3340998581899906,4049142853.0,,661616790144.0,661616790144.0,70566892299.0,,,,,1201840394.0,,,0
ISCTR,2021/9,2021-11-05 18:16:56,0.09426764676389103,0.010065982443889274,,0.0,,,0.3596478861411016,7048550854.0,,700234765289.0,700234765289.0,74771685684.0,,,,,3418718744.0,,,0
ISCTR,2021/12,2022-02-08 19:16:25,0.15508987746630568,0.014535231214977988,,0.0,,,0.977401757098215,13467878839.0,,926567912117.0,926567912117.0,86839186793.0,,,,,7472527033.0,,,0
ISCTR,2022/3,2022-05-09 18:38:48,0.07779952006549046,0.008374195488624992,,0.0,,,3.5486788580693367,8431860704.0,,1006886060333.0,1006886060333.0,108379340861.0,,,,,8995804013.0,,,0
ISCTR,2022/6,2022-08-08 18:28:25,0.1841186975060929,0.02004859887687666,,0.0,,,4.6732439229651455,22971775084.0,,1145804513576.0,1145804513576.0,124766117701.0,,,,,20302558092.0,,,0
ISCTR,2022/9,2022-11-07 18:20:59,0.2591559269681679,0.029443034664077564,,0.0,,,4.392530714228993,38009526971.0,,1290951405134.0,1290951405134.0,146666631999.0,,,,,34055680833.0,,,0
ISCTR,2022/12,2023-02-06 20:25:29,0.3215547188976613,0.04369586700456858,,0.0,,,3.569227781942923,61537806155.0,,1408320978013.0,1408320978013.0,191375845349.0,,,,,52158311410.0,,,0
ISCTR,2023/3,2023-05-09 18:31:25,0.06553482091500473,0.00819194619142711,,0.0,,,0.5302252930814072,12902646517.0,,1575040437949.0,1575040437949.0,196882303741.0,,,,,12982842421.0,,,0
ISCTR,2023/6,2023-08-07 18:25:34,0.1511034440336118,0.016186435378743213,,0.0,,,0.37114724864855375,31497686203.0,,1945930988880.0,1945930988880.0,208451146858.0,,,,,23360898967.0,,,0
ISCTR,2023/9,2023-11-06 18:21:00,0.23474860158441252,0.025038485180924514,,0.0,,,0.3692748027279837,52045487545.0,,2078619659653.0,2078619659653.0,221707337951.0,,,,,37991888410.0,,,0
ISCTR,2023/12,2024-02-13 18:54:42,0.26984868162451736,0.029450358566385698,,0.0,,,0.17431406475527125,72264711282.0,,2453780354460.0,2453780354460.0,267797162643.0,,,,,43086422296.0,,,0
ISCTR,2024/3,2024-05-10 18:50:54,0.05108437204181922,0.005269170048802569,,0.0,,,0.08875199552984855,14047782143.0,,2666033172756.0,2666033172756.0,274991775009.0,,,,,6185179578.0,,,0
ISCTR,2024/6,2024-08-07 18:43:02,0.10210516474097696,0.010099974872255292,,0.0,,,-0.07450906612233862,29150823019.0,,2886227281523.0,2886227281523.0,285498026402.0,,,,,6025243770.0,,,0
ISCTR,2024/9,2024-11-04 18:22:35,0.11937487604384761,0.010848385957213956,,0.0,,,-0.33356844149052156,34684755378.0,,3197227266323.0,3197227266323.0,290553226336.0,,,,,575772309.0,,,0
ISCTR,2024/12,2025-02-12 18:12:26,0.14298474451811935,0.01369449656518453,,0.0,,,-0.3701297691292698,45517390379.0,,3323772448468.0,3323772448468.0,318337389995.0,,,,,274008671.0,,,0
ISCTR,2025/3,2025-05-06 18:13:04,0.038039656416820423,0.0033773410876909425,,0.0,,,-0.11604551006027088,12417600099.0,,3676738527908.0,3676738527908.0,326438282274.0,,,,,2447465063.0,,,0
ISCTR,2025/6,2025-08-05 18:11:15,0.08262608638810226,0.007493248061195295,,0.0,,,0.02192004090531232,29789810252.0,,3975553726330.0,3975553726330.0,360537592354.0,,,,,3920345296.0,,,0
ISCTR,2025/9,2025-10-31 18:10:22,0.11559956737057046,0.010425518375770902,,0.0,,,0.26863562154196374,44002316197.0,,4220635810231.0,4220635810231.0,380644298226.0,,,,,7870568555.0,,,0
